gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686949059752877600,0.110336,0.1088,0.935936,34.203648,122.91328,144.2432
0000000001,1,1686949060253041400,0.048128,0.047104,0.593408,21.80992,86.991616,108.354816
0000000002,1,1686949060753193700,0.046848,0.045568,0.768768,25.042176,116.449536,137.684224
0000000003,1,1686949061253487600,0.06656,0.065536,0.757248,25.162496,102.080512,123.244288
0000000004,1,1686949061753708000,0.041728,0.040448,0.590592,26.119168,98.351104,119.570432
0000000005,1,1686949062253931500,0.045312,0.044544,0.891904,18.536448,81.954816,103.207936
0000000006,1,1686949062754111000,0.050944,0.049664,0.717056,24.311552,92.107776,113.324032
0000000007,1,1686949063254389500,0.050176,0.049152,0.47488,25.374464,101.494528,122.67136
0000000008,1,1686949063754599700,0.069376,0.06784,0.621568,23.253248,89.697536,112.005632
0000000009,1,1686949064254841600,0.053504,0.048128,0.625152,20.52352,103.27296,125.102592
0000000100,1,1686949064283339300,0.066048,0.064512,0.876032,30.26176,107.362304,128.771584
0000000010,1,1686949064754872000,0.049408,0.04864,0.56192,17.77408,112.297984,133.560576
0000000101,1,1686949064783606800,0.041472,0.040192,0.715776,28.201472,103.779328,125.013248
0000000011,1,1686949065254928100,0.040192,0.038656,0.51456,20.96384,111.921408,133.121024
0000000102,1,1686949065283790800,0.055808,0.054784,0.650752,28.703232,100.85504,121.916928
0000000012,1,1686949065755154400,0.045056,0.044032,0.645632,18.219776,109.143808,130.28352
0000000103,1,1686949065783999700,0.040192,0.038656,0.484352,23.507456,116.25728,137.533184
0000000013,1,1686949066255320000,0.0448,0.044032,0.52096,26.35136,197.07392,218.14016
0000000104,1,1686949066284178700,0.045824,0.0448,2.623744,53.139968,189.044992,210.08512
0000000014,1,1686949066755590400,0.0384,0.037632,0.550144,18.919936,87.27552,108.282112
0000000105,1,1686949066784256300,0.03584,0.035072,0.506368,21.861632,89.639168,110.574848
0000000015,1,1686949067255814100,0.039424,0.0384,0.409088,24.410112,111.298048,132.417024
0000000106,1,1686949067284482800,0.054016,0.052736,0.512512,26.43072,95.45984,116.522496
0000000016,1,1686949067756093000,0.036864,0.036096,0.448512,26.991872,128.074752,149.150976
0000000107,1,1686949067784777000,0.047872,0.046592,2.21696,25.346304,108.374272,130.596608
0000000017,1,1686949068256189000,0.0256,0.025088,0.485376,23.979008,120.75392,141.863936
0000000108,1,1686949068284939300,0.04608,0.045056,0.491264,21.023232,110.219776,132.219904
0000000018,1,1686949068756420600,0.880128,0.868864,2.523904,24.932096,154.270464,175.564032
0000000200,1,1686949068765447700,0.093952,0.092672,0.870912,20.666368,168.571904,190.057472
0000000109,1,1686949068785150200,0.041216,0.03968,0.411648,55.200512,157.11488,178.3232
0000000019,1,1686949069256657700,0.045824,0.045056,0.55808,23.604736,145.369344,167.542528
0000000201,1,1686949069265649200,0.046848,0.045824,0.684288,19.167488,137.817088,158.978816
0000000110,1,1686949069285368300,0.035584,0.034816,0.450304,23.91296,125.664512,146.816512
0000000020,1,1686949069756733200,0.045824,0.0448,0.60544,27.707136,180.48768,201.808896
0000000202,1,1686949069765890000,0.061184,0.058624,1.066752,28.247296,162.51392,183.60064
0000000111,1,1686949069785553700,0.020992,0.02048,0.459008,35.060992,158.850048,179.962368
0000000021,1,1686949070257020400,0.046336,0.045312,0.598016,23.046912,122.239744,143.438592
0000000203,1,1686949070266016000,0.044032,0.043008,0.467712,19.741696,113.556992,134.656256
0000000112,1,1686949070285724200,0.033792,0.03328,0.36352,22.715648,109.342464,130.620928
0000000022,1,1686949070757224000,0.036096,0.035072,0.56192,29.1072,197.775616,218.878208
0000000204,1,1686949070766261800,0.0384,0.037376,0.57856,27.782656,184.857088,206.07232
0000000113,1,1686949070785997000,0.047872,0.046848,0.655104,42.251776,182.82752,203.994624
0000000023,1,1686949071257455600,0.047616,0.046336,0.42752,29.029888,169.599232,190.826752
0000000205,1,1686949071266518000,0.038144,0.03712,0.43776,24.113408,164.654336,185.750784
0000000114,1,1686949071286022400,0.038656,0.03712,0.658176,47.820032,159.770112,180.739584
0000000024,1,1686949071757707000,0.044288,0.043008,0.553216,36.198144,150.024704,171.29216
0000000206,1,1686949071766567200,0.044544,0.043776,0.58368,37.675008,158.167808,179.436032
0000000115,1,1686949071786193000,0.046848,0.04608,0.596224,35.36384,136.888576,159.81568
0000000025,1,1686949072257954300,0.037632,0.036864,0.487936,29.118208,141.359872,162.591232
0000000207,1,1686949072266772200,0.044544,0.043776,1.235968,23.843584,135.977472,157.23392
0000000116,1,1686949072286401000,0.051456,0.050688,0.54144,30.498048,124.676352,145.856256
0000000026,1,1686949072758066200,0.046848,0.04608,0.59904,24.973824,130.359808,151.637504
0000000208,1,1686949072767043800,0.088064,0.078336,0.658176,20.483072,124.636928,146.062848
0000000117,1,1686949072786592300,0.077568,0.076544,0.463872,24.13568,120.205568,141.433088
0000000027,1,1686949073258069800,0.05504,0.051456,2.661888,30.619392,135.244544,156.71936
0000000209,1,1686949073267263700,0.04352,0.042496,0.593664,27.945472,130.01088,151.231232
0000000118,1,1686949073286849800,0.039168,0.038144,0.509696,31.00928,129.108224,153.10976
0000000028,1,1686949073758390800,0.0448,0.04352,0.568832,27.017728,132.294912,153.354752
0000000210,1,1686949073767476500,0.039424,0.0384,0.580864,23.23584,124.982528,146.1248
0000000119,1,1686949073787151000,0.038656,0.037376,0.506112,25.347072,119.535872,140.63488
0000000300,1,1686949074056638000,0.045056,0.044032,2.578432,21.629696,87.522048,108.6976
0000000029,1,1686949074258643700,0.050176,0.049152,0.4608,27.10272,137.718528,158.86336
0000000211,1,1686949074267492600,0.053504,0.052224,0.46592,21.019136,129.76512,150.886912
0000000120,1,1686949074287210500,0.05888,0.058624,0.32256,29.586688,127.931136,148.93568
0000000301,1,1686949074556721400,0.038144,0.037376,0.530944,18.724864,86.2784,107.755776
0000000030,1,1686949074758813400,0.062208,0.061184,0.518656,18.324224,133.773056,154.99776
0000000212,1,1686949074767778000,0.038144,0.03712,0.644352,22.60352,136.825088,158.068736
0000000121,1,1686949074787510300,0.043008,0.041984,0.700928,29.969408,132.485376,153.992448
0000000302,1,1686949075056955600,0.08576,0.084736,0.8512,22.677248,94.799872,115.940608
0000000031,1,1686949075259000800,0.041216,0.040192,0.51456,27.034112,144.421888,165.579776
