gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686184343609819000,0.115712,0.117504,2.826752,23.493376,86.431488,107.551232
0000000001,1,1686184343709891600,0.049152,0.057344,1.145856,218.53696,310.95296,331.880192
0000000002,1,1686184343810129000,0.043776,0.045312,0.787968,118.625536,222.590976,243.483648
0000000003,1,1686184343910217200,0.026368,0.02688,0.492288,20.138496,155.031808,176.054528
0000000004,1,1686184344010306800,0.03072,0.035328,0.518144,26.560256,93.137152,114.055168
0000000005,1,1686184344110326800,0.036864,0.037888,0.419072,221.64864,310.261504,332.70144
0000000006,1,1686184344210457300,0.041216,0.041984,0.56832,122.093824,230.295296,251.437568
0000000007,1,1686184344310624300,0.035584,0.036608,3.129344,26.625024,172.724992,193.99424
0000000008,1,1686184344410760000,0.043264,0.044544,2.299392,42.494464,129.85728,150.99648
0000000009,1,1686184344510785800,0.035584,0.036608,1.619968,44.932608,101.73312,122.660864
0000000010,1,1686184344610824700,0.02688,0.027648,0.475648,227.611392,314.04032,335.036928
0000000011,1,1686184344710994200,0.032256,0.033024,1.116416,130.995456,236.361472,257.533184
0000000012,1,1686184344811160600,0.0384,0.045312,0.44416,31.90784,194.242304,215.387904
0000000013,1,1686184344911584800,0.04224,0.043264,0.418816,41.731072,127.705088,149.521408
0000000014,1,1686184345011675600,0.02816,0.028672,0.46592,46.005504,104.085248,125.110784
0000000015,1,1686184345112065800,0.205824,0.218112,1.128192,16.185088,72.097536,93.14048
0000000016,1,1686184345212156700,0.030208,0.030976,1.266944,197.352192,311.753728,333.056512
0000000017,1,1686184345312284400,0.050176,0.062976,0.707328,98.274304,239.209728,260.183552
0000000018,1,1686184345412291800,0.03072,0.031744,0.3712,53.890048,157.494784,178.601216
0000000019,1,1686184345512730600,0.040192,0.041472,0.607744,32.433408,91.59936,112.818944
0000000020,1,1686184345612657400,0.050176,0.0512,0.494848,217.185024,301.595136,323.098368
0000000021,1,1686184345712792300,0.062976,0.074752,0.65664,118.989056,208.887296,229.990656
0000000022,1,1686184345812749000,0.040448,0.041472,0.532224,20.654592,152.177408,173.208064
0000000023,1,1686184345912829700,0.032,0.033024,1.095168,29.874176,100.834816,121.905664
