gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686950752504283400,0.070144,0.07168,0.93056,34.553344,117.387776,139.30752
0000000001,1,1686950752604574200,0.036608,0.044544,0.457216,29.846528,98.039552,119.107584
0000000002,1,1686950752704647400,0.027648,0.028672,0.5248,229.095936,308.366848,330.2656
0000000003,1,1686950752804949800,0.0384,0.039424,1.782528,136.097536,210.486528,232.52864
0000000004,1,1686950752905137700,0.037376,0.0384,0.500736,36.190976,157.614592,178.776832
0000000005,1,1686950753005361700,0.051968,0.052992,0.499456,27.880192,105.581824,126.765312
0000000006,1,1686950753105590500,0.040448,0.045312,0.419072,18.848768,85.935104,106.989824
0000000007,1,1686950753205814000,0.03584,0.036864,0.581632,223.520768,305.30176,326.220288
0000000008,1,1686950753306030300,0.034048,0.035328,0.575744,123.651072,209.919744,231.086848
0000000009,1,1686950753406246700,0.102144,0.103424,0.487424,24.87296,154.045952,175.150336
0000000010,1,1686950753506487000,0.031744,0.03328,0.464384,22.208,88.018176,109.313024
0000000011,1,1686950753606515500,0.034816,0.03584,0.367872,216.356864,301.601024,323.810048
0000000012,1,1686950753706724400,0.039424,0.04096,0.498432,116.711168,206.391552,227.374592
0000000013,1,1686950753806838800,0.023552,0.024576,0.591616,20.5888,140.488448,161.313024
0000000014,1,1686950753907072500,0.058112,0.059136,0.519168,52.42752,108.375808,129.400576
0000000015,1,1686950754007222000,0.047872,0.04864,0.547584,19.458816,78.241536,99.537152
0000000016,1,1686950754107309300,0.039168,0.040448,0.55552,211.754752,308.932864,330.029568
0000000017,1,1686950754207539200,0.041728,0.042752,0.717568,113.74464,216.97664,238.107648
0000000018,1,1686950754307874800,0.027136,0.027648,1.003264,29.14816,159.057152,180.148992
0000000019,1,1686950754408071400,0.027392,0.027904,0.460288,26.9312,90.924032,112.071168
0000000020,1,1686950754508321300,0.040704,0.041728,0.531712,230.441728,329.771264,350.838784
0000000021,1,1686950754608510200,0.040448,0.041472,0.470528,134.078208,233.54496,254.525184
0000000022,1,1686950754708698400,0.059648,0.060672,0.53376,34.042112,190.820352,211.973376
0000000023,1,1686950754808705300,0.054528,0.058112,0.526848,46.811392,124.73344,145.875456
0000000024,1,1686950754909188600,0.027648,0.028416,0.428032,46.456832,111.659264,132.794368
0000000025,1,1686950755009238300,0.064256,0.065024,0.514304,35.948544,96.52608,117.703936
0000000026,1,1686950755109402600,0.036096,0.03712,0.472576,233.496064,314.128384,335.227136
0000000027,1,1686950755209667300,0.050944,0.051968,0.439296,134.28992,216.4736,237.68576
0000000028,1,1686950755309753300,0.041216,0.04224,0.539904,34.58304,162.030592,183.238656
0000000029,1,1686950755409975000,0.041472,0.043008,0.457984,33.014016,98.124544,119.230208
0000000030,1,1686950755510125800,0.041728,0.042752,0.46592,240.767488,324.1856,345.250816
0000000031,1,1686950755610382300,0.041984,0.042752,0.530432,141.888512,227.454208,248.936448
0000000032,1,1686950755710591700,0.090624,0.099328,0.574464,42.09408,173.163776,194.20672
0000000033,1,1686950755810792000,0.022272,0.022784,0.513536,41.727488,105.76128,127.513088
0000000034,1,1686950755910969900,0.030208,0.031232,0.306944,22.21952,84.10368,105.003008
0000000035,1,1686950756011266600,0.049408,0.050176,0.517888,227.185664,424.063232,445.718784
0000000036,1,1686950756111353300,0.047616,0.048384,0.7296,127.69024,317.51552,339.64672
0000000037,1,1686950756211401000,0.034048,0.035072,0.39168,121.533184,237.301504,258.344448
0000000038,1,1686950756311599000,0.044544,0.045824,0.6272,21.502976,169.801472,190.781952
0000000039,1,1686950756411797000,0.0448,0.045568,0.634112,37.824,149.48992,170.485504
0000000040,1,1686950756511959600,0.027136,0.02816,0.430592,72.312832,130.0864,151.205888
0000000041,1,1686950756612154600,0.107264,0.114688,0.52096,45.285376,105.006336,126.713344
0000000042,1,1686950756712300000,0.043008,0.044288,0.452096,19.329536,85.508352,107.425024
0000000043,1,1686950756812537900,0.036096,0.037888,0.493824,208.876288,294.344192,315.35872
0000000044,1,1686950756912802300,0.048384,0.049408,0.511744,111.057664,198.93632,220.176384
0000000045,1,1686950757013157000,0.075264,0.076288,0.495616,19.296768,132.437504,154.281728
0000000046,1,1686950757113392600,0.033024,0.034304,0.382208,49.89824,113.850368,135.802624
0000000047,1,1686950757213658400,0.0384,0.03968,0.412672,26.534912,94.26304,115.365632
0000000048,1,1686950757313725000,0.029696,0.030464,0.494336,227.565056,327.53664,348.7808
0000000049,1,1686950757413948000,0.062208,0.063232,0.699904,128.808448,237.041152,258.462208
0000000050,1,1686950757514005200,0.03584,0.036608,0.334336,30.084864,239.231232,260.276992
0000000051,1,1686950757614287000,0.086272,0.08704,0.440064,72.794624,223.056128,244.574464
0000000100,1,1686950757639272700,0.047872,0.049152,0.87296,48.288256,219.6544,241.108992
0000000052,1,1686950757714302000,0.039936,0.040704,0.474624,35.474432,186.721536,207.753728
0000000101,1,1686950757739212800,0.049408,0.050176,4.86784,32.895744,204.253696,225.431552
0000000053,1,1686950757814581000,0.03072,0.032,0.464128,65.119488,389.823232,410.716416
0000000102,1,1686950757839453700,0.052736,0.053504,0.431616,47.047424,134.942208,156.961024
0000000054,1,1686950757914694000,0.037632,0.0384,0.350464,232.184064,349.387008,371.055104
0000000103,1,1686950757940269000,0.14848,0.152064,1.51296,45.504512,105.068032,126.053888
0000000055,1,1686950758014952400,0.04224,0.043264,0.477696,134.276608,261.119232,282.103808
0000000104,1,1686950758039863300,0.034304,0.035328,0.413696,20.152064,107.313408,128.365568
0000000056,1,1686950758114937600,0.043264,0.044032,0.418304,45.268224,180.653312,202.848
0000000105,1,1686950758140128800,0.035328,0.03584,0.437504,31.721984,158.213888,179.378432
0000000057,1,1686950758215122700,0.031744,0.032768,0.337408,75.78624,150.908672,172.599552
0000000106,1,1686950758240307500,0.0384,0.039424,0.51968,75.467776,154.455808,175.729664
0000000058,1,1686950758315290400,0.027904,0.028672,0.453888,66.24512,144.74624,165.854976
0000000107,1,1686950758340891400,0.035072,0.03584,1.780736,68.362496,135.53792,158.077184
0000000059,1,1686950758415534300,0.040448,0.041472,0.471296,59.431424,132.594432,153.783808
0000000108,1,1686950758441024300,0.023552,0.02432,0.335616,48.926208,127.183104,148.2304
0000000060,1,1686950758515638000,0.027904,0.028928,0.39936,52.869632,140.928256,161.866496
0000000109,1,1686950758541073200,0.041728,0.043008,0.420352,43.708672,119.595008,140.845312
0000000061,1,1686950758615777800,0.038656,0.03968,0.4032,58.185472,134.42304,155.52256
0000000110,1,1686950758641270000,0.0384,0.039168,0.698368,34.729984,116.128256,137.271808
0000000062,1,1686950758715873300,0.030464,0.031232,0.584192,50.202112,163.51872,184.629248
0000000111,1,1686950758741485600,0.03712,0.038144,0.915712,28.561664,134.070016,155.11168
0000000063,1,1686950758816148000,0.031744,0.033024,0.502784,142.431232,504.506112,525.948672
0000000112,1,1686950758841728500,0.043008,0.043776,0.753408,116.848384,417.35936,438.502912
0000000064,1,1686950758916333300,0.040448,0.0576,0.383744,175.16928,428.66432,449.749248
0000000113,1,1686950758941917400,0.036352,0.0384,0.539136,137.319936,392.61824,415.768576
0000000065,1,1686950759016541000,0.0512,0.051968,0.556032,126.409216,405.992704,427.14752
0000000114,1,1686950759042277600,0.09216,0.09344,0.690944,101.042432,360.327168,381.417216
0000000066,1,1686950759116591900,0.042496,0.043776,0.510464,66.830592,353.88928,374.905856
0000000115,1,1686950759142568000,0.0384,0.039168,0.420608,49.232384,326.656768,347.912704
0000000067,1,1686950759216832500,0.052224,0.058112,0.424192,115.127296,287.921152,308.9024
0000000116,1,1686950759242725000,0.024832,0.025856,2.151936,86.591488,230.424832,251.664896
0000000068,1,1686950759316981000,0.039424,0.047872,0.518656,78.345472,258.13632,279.303936
0000000117,1,1686950759343348700,0.03712,0.038144,0.585728,55.22176,212.29312,233.49376
0000000069,1,1686950759417207300,0.024576,0.025088,0.44288,54.093056,198.958848,220.249856
0000000118,1,1686950759443557000,0.034048,0.034816,0.523776,30.064128,209.165312,230.21312
0000000070,1,1686950759517469400,0.038656,0.03968,0.397056,97.81632,437.041408,458.496768
0000000119,1,1686950759543753000,0.038144,0.039168,0.578048,68.115712,182.055424,203.266304
0000000071,1,1686950759617656800,0.045312,0.046336,0.43904,245.224192,371.782656,392.966656
0000000120,1,1686950759643954400,0.03968,0.040704,0.419328,41.15456,133.604352,155.49824
0000000072,1,1686950759717895000,0.042752,0.043776,0.474624,148.652032,298.82624,319.958528
0000000121,1,1686950759744876000,0.026368,0.027136,0.35584,47.64928,162.776576,184.007168
0000000073,1,1686950759818118100,0.041728,0.042752,0.489984,49.018624,218.212096,239.197696
0000000122,1,1686950759845051400,0.044032,0.045056,0.413696,89.022976,230.6432,252.054272
0000000074,1,1686950759918395600,0.029696,0.030464,0.443136,48.953344,166.01472,188.8448
0000000123,1,1686950759945930000,0.045824,0.046592,0.583168,54.643968,199.659008,220.911872
0000000075,1,1686950760018535400,0.037632,0.0384,0.612096,39.758848,124.568576,145.752064
0000000124,1,1686950760046050600,0.073472,0.074752,0.744192,50.432256,194.516736,215.565312
0000000076,1,1686950760118707000,0.031744,0.038144,0.561664,49.072384,144.89088,166.020608
0000000125,1,1686950760146078700,0.037376,0.0384,0.502272,52.696064,139.841024,161.325568
0000000077,1,1686950760218927900,0.033536,0.03456,0.585472,66.542336,155.614464,176.434944
0000000126,1,1686950760246333400,0.054784,0.05632,0.515328,69.241088,150.55104,171.93984
0000000078,1,1686950760319121000,0.04224,0.043776,0.59776,73.778432,147.499264,168.46464
0000000127,1,1686950760346553600,0.075264,0.076544,0.475904,71.478016,146.813696,167.924736
0000000079,1,1686950760419142100,0.044032,0.045056,0.435456,64.104192,151.617792,172.812544
0000000128,1,1686950760446685700,0.02688,0.035328,0.464128,62.300928,146.658048,167.805184
0000000080,1,1686950760519731500,0.029184,0.03072,0.480256,76.030208,150.191616,171.559936
0000000129,1,1686950760546969900,0.039936,0.040704,0.455168,62.758656,144.453888,165.485824
0000000081,1,1686950760619948300,0.02688,0.027392,0.370176,72.03584,154.447872,175.549184
0000000130,1,1686950760647119000,0.0384,0.041984,0.451328,61.416448,145.491968,166.499328
0000000082,1,1686950760720099800,0.024576,0.025088,0.294912,74.285824,143.669248,164.808192
0000000131,1,1686950760747403800,0.04352,0.045056,0.493568,57.814784,130.125568,151.336448
0000000083,1,1686950760820269000,0.045824,0.046848,0.603392,60.150272,135.396864,156.44288
0000000132,1,1686950760847528700,0.049152,0.052736,0.520192,47.56608,125.441536,146.577664
0000000084,1,1686950760920414200,0.038912,0.03968,0.359168,54.093056,127.890432,149.110272
0000000133,1,1686950760947837400,0.039168,0.040192,0.498176,42.856448,121.874432,142.823936
0000000085,1,1686950761020635600,0.033536,0.03456,0.425984,49.169152,125.152512,146.208512
0000000134,1,1686950761048064500,0.05248,0.054272,0.389632,41.5296,124.950784,146.051584
0000000086,1,1686950761120898600,0.038912,0.03968,0.475392,42.772736,133.076224,154.108928
0000000135,1,1686950761148282000,0.039168,0.040192,0.390656,39.318272,140.687616,161.8176
0000000087,1,1686950761221105000,0.036096,0.03712,0.404992,52.411648,145.736448,169.641216
0000000136,1,1686950761248364300,0.042752,0.044544,0.46976,65.361408,152.120832,174.025472
0000000088,1,1686950761321339600,0.0384,0.039168,0.398336,67.379456,148.425472,169.447424
0000000137,1,1686950761348785700,0.034304,0.034816,0.490752,66.021376,140.743936,161.954816
0000000089,1,1686950761421502200,0.039168,0.04096,0.584192,64.923648,139.538688,160.580096
0000000138,1,1686950761449064000,0.060928,0.062208,0.533248,58.348544,131.498752,152.633856
0000000090,1,1686950761521674000,0.0192,0.019456,0.444416,56.675584,126.953728,148.107264
0000000139,1,1686950761549287000,0.037632,0.038912,0.522496,52.17152,120.843008,142.03648
0000000091,1,1686950761622058200,0.040192,0.041216,0.623872,45.600512,118.854144,139.87584
0000000140,1,1686950761649509000,0.033792,0.03456,0.424704,42.686976,122.028288,143.197696
0000000092,1,1686950761722310100,0.076032,0.077056,0.713472,37.764864,126.567168,147.582464
0000000141,1,1686950761749724400,0.037376,0.0384,0.533504,35.017984,118.75072,139.858432
0000000093,1,1686950761822557200,0.031232,0.032768,0.448768,44.312832,121.489152,142.653952
