gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686183271384892200,0.043776,0.042752,1.39648,47.597824,129.3824,151.3152
0000000001,1,1686183271485346800,0.067584,0.066304,1.298432,48.643328,122.772736,145.66272
0000000002,1,1686183271585062000,0.03456,0.033792,0.396032,34.268672,99.272448,120.307968
0000000003,1,1686183271685092000,0.205056,0.194304,0.688128,223.875328,294.743808,315.75168
0000000004,1,1686183271785255700,0.049664,0.04864,3.429632,129.367552,235.477248,257.129472
0000000005,1,1686183271885400800,0.052992,0.050944,1.50016,29.682432,104.224768,124.950272
0000000006,1,1686183271985474300,0.048896,0.04736,0.436224,19.369728,69.540352,91.149568
0000000007,1,1686183272085538600,0.032,0.02688,0.435968,199.598848,341.110784,363.669504
0000000008,1,1686183272185720600,0.055296,0.053504,0.570368,101.083392,249.056256,270.18496
0000000009,1,1686183272285673500,1.033472,1.026304,1.455104,77.680128,208.120832,235.085056
0000000010,1,1686183272386556400,1.345024,1.343488,2.870784,69.789696,185.820416,206.923776
0000000011,1,1686183272486667800,0.034304,0.033536,0.418816,47.577088,110.125312,131.88096
0000000012,1,1686183272586771000,0.056832,0.055808,0.4032,21.923584,84.62592,105.58336
0000000013,1,1686183272686967000,0.055296,0.053504,0.441856,203.95904,276.73216,297.956864
0000000014,1,1686183272787225000,0.0448,0.043776,1.574144,106.635264,189.529088,210.459904
0000000015,1,1686183272887677200,0.054016,0.05248,0.504064,18.972416,108.165632,129.85856
0000000016,1,1686183272987716600,0.048384,0.03072,0.43136,20.054784,78.319872,99.5584
0000000017,1,1686183273087848400,0.039424,0.0384,0.57856,203.984384,285.774848,307.355648
0000000018,1,1686183273188032500,0.060928,0.059904,0.68352,104.603392,203.808768,230.50752
0000000019,1,1686183273288196400,0.036608,0.035328,0.60928,17.509888,144.442624,165.446912
0000000020,1,1686183273388581400,0.03328,0.032,0.395008,20.02176,304.273152,325.428992
0000000021,1,1686183273488720100,0.04096,0.034304,0.424192,177.7792,268.827904,289.92896
0000000022,1,1686183273588831700,0.060416,0.05888,0.469504,77.762816,187.843328,209.659136
0000000023,1,1686183273689652000,0.057088,0.055552,0.387584,35.837952,115.47264,137.557504
0000000024,1,1686183273789815600,0.284416,0.274688,0.789248,31.514624,118.507776,141.91488
0000000025,1,1686183273890002000,0.241408,0.233216,2.298624,39.02976,99.406848,120.342528
0000000026,1,1686183273989990700,0.023808,0.022784,0.328192,240.638976,329.837312,351.78624
0000000027,1,1686183274090123500,0.041984,0.03456,0.60288,140.057344,224.018176,245.41056
0000000028,1,1686183274190272500,0.038656,0.036096,0.555264,40.604928,176.519936,197.293056
0000000029,1,1686183274290380500,0.0384,0.03712,0.409856,51.912192,393.943296,414.930432
0000000030,1,1686183274390417700,0.043776,0.034048,0.44416,255.071744,418.62144,439.590912
0000000031,1,1686183274490558700,0.03072,0.030208,0.40704,156.31616,374.18368,395.220736
0000000032,1,1686183274590657000,0.04992,0.04224,0.360704,56.274944,255.954944,276.907776
0000000033,1,1686183274690728400,0.027392,0.026624,0.671744,78.277632,251.252224,275.694336
0000000034,1,1686183274790890800,0.526592,0.507136,3.582208,57.122304,174.43584,195.608576
0000000035,1,1686183274891189200,0.024576,0.023296,0.272896,78.287104,160.386304,181.538816
0000000036,1,1686183274991637000,0.046592,0.03968,0.432384,77.049344,154.487296,175.417088
0000000037,1,1686183275091724500,0.041984,0.035072,1.566464,72.282624,159.184128,180.377856
0000000038,1,1686183275192128300,0.035328,0.03456,0.347648,84.338944,191.001856,212.271104
0000000100,1,1686183275288771800,0.05632,0.047872,0.751872,27.624704,107.782144,129.35168
0000000039,1,1686183275292214000,0.035072,0.034304,0.6144,26.48192,188.19072,209.3312
0000000101,1,1686183275388843300,0.069888,0.063488,0.612096,30.519296,110.055168,131.18976
0000000102,1,1686183275488902100,0.063232,0.051712,0.662784,21.828864,77.792,98.952704
0000000103,1,1686183275588965600,0.07296,0.06272,0.540928,196.766976,276.289024,297.78048
0000000104,1,1686183275689034200,0.044032,0.042752,0.56448,100.029696,179.944704,200.697088
0000000105,1,1686183275789132300,0.042752,0.041472,0.557056,33.478912,127.882496,149.07136
0000000106,1,1686183275889191700,0.16896,0.157696,0.62976,40.024064,108.256768,129.248256
0000000107,1,1686183275989691100,0.049408,0.048384,0.445184,22.150144,76.956928,97.829632
0000000108,1,1686183276089739500,0.02944,0.02816,0.545536,198.855168,282.619648,304.296704
0000000109,1,1686183276189855700,0.032768,0.032256,0.459008,101.458944,184.68608,206.044672
