gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686183009549876500,0.38784,0.389376,1.087488,30.41152,86.244864,108.411136
0000000001,1,1686183009650019000,0.059648,0.078848,0.677376,215.363584,298.465024,320.241408
0000000002,1,1686183009750109000,0.04352,0.044544,0.632832,115.58528,186.185216,207.329024
0000000003,1,1686183009851047700,0.037632,0.038656,0.400896,19.464192,122.298112,143.849216
0000000004,1,1686183009951072500,0.035072,0.03584,0.51456,34.503936,91.226624,112.348416
0000000005,1,1686183010051752000,0.04608,0.056576,0.58624,212.143616,302.827008,323.886848
0000000006,1,1686183010151832800,0.060928,0.107264,0.932352,112.948992,214.111488,235.118848
0000000007,1,1686183010252094500,0.035584,0.036864,0.342016,17.552896,159.936512,181.400576
0000000008,1,1686183010352713200,0.037632,0.045824,0.614656,34.631936,108.470784,131.036416
0000000009,1,1686183010452508400,0.029696,0.03712,0.410112,18.655488,115.968,137.251328
0000000010,1,1686183010552619800,0.032512,0.038912,0.43008,24.656896,86.682368,107.63008
0000000011,1,1686183010652887300,0.04352,0.0448,2.69056,207.72224,283.766784,304.8128
0000000012,1,1686183010753038800,0.057088,0.067072,1.355776,110.898176,201.03936,222.751488
0000000013,1,1686183010853860900,0.036608,0.037632,0.675584,25.863168,123.655424,144.561152
0000000014,1,1686183010954446600,0.02176,0.022784,0.385024,33.327104,88.54784,109.5552
0000000015,1,1686183011054074000,0.031488,0.032512,0.384768,215.269376,576.737792,606.258944
0000000016,1,1686183011154428000,0.040704,0.041728,0.428032,116.736256,495.596544,533.14816
0000000017,1,1686183011254587100,0.102656,0.103936,0.492288,24.281856,378.678272,406.26688
0000000018,1,1686183011354604000,0.030464,0.034816,0.404992,154.92736,347.392768,369.335296
0000000019,1,1686183011454745000,0.035072,0.045056,0.494592,54.600192,250.379264,272.14592
0000000020,1,1686183011554835700,0.059904,0.066048,0.560128,88.929024,292.284928,313.447936
0000000021,1,1686183011657798100,0.032256,0.033536,1.789184,102.51776,281.52192,305.114624
0000000022,1,1686183011757847000,0.03328,0.034048,0.380928,53.385728,194.751232,216.916992
0000000023,1,1686183011859012400,0.07168,0.072704,0.61056,107.699456,202.311936,223.867648
0000000024,1,1686183011958028500,0.033024,0.034304,0.348928,29.997824,162.055168,183.123968
0000000025,1,1686183012058107100,0.031232,0.032256,0.391168,79.433728,211.80416,233.561088
0000000026,1,1686183012158169300,0.02176,0.022784,0.258304,152.237056,339.046144,360.2176
0000000027,1,1686183012258690300,0.400384,0.411136,1.071616,90.06336,286.873344,307.841536
0000000028,1,1686183012358444300,0.034816,0.03584,0.355328,87.587584,261.579776,282.90816
0000000029,1,1686183012458759000,0.036352,0.037376,0.57088,70.87232,179.613696,200.665856
0000000100,1,1686183014738327600,0.086528,0.087296,0.618496,15.551744,103.908352,125.325824
0000000101,1,1686183014838431500,0.044544,0.045568,0.447744,19.079936,81.048832,102.160384
0000000102,1,1686183014938523600,0.042752,0.050176,0.61056,208.576256,295.729664,317.23136
0000000103,1,1686183015038635500,0.039424,0.040448,2.202112,111.42528,201.620224,222.542848
0000000104,1,1686183015138711000,0.040704,0.049408,0.818688,22.148096,131.905024,152.880384
0000000105,1,1686183015240342500,0.030976,0.032768,0.391936,43.311616,98.75968,120.049664
0000000106,1,1686183015340176600,0.042496,0.05632,0.527104,231.208448,352.515584,374.057984
0000000107,1,1686183015440404500,0.067584,0.079104,0.773632,139.795456,265.489664,288.286464
0000000108,1,1686183015540507000,0.06528,0.066304,0.678656,40.643584,213.269248,234.117632
0000000109,1,1686183015640554500,0.058112,0.059648,0.95744,77.257728,173.21088,194.775552
0000000110,1,1686183015740993000,0.033024,0.034048,0.463872,27.578368,101.083136,123.253504
