gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686183515379776300,0.099072,0.111872,1.008128,31.197184,94.739968,116.400896
0000000001,1,1686183515480235800,0.046592,0.059392,0.563968,225.020928,307.584512,328.786176
0000000002,1,1686183515580540200,0.046336,0.0576,0.710656,126.096128,242.370816,264.259328
0000000003,1,1686183515680519400,0.055552,0.056832,0.451072,26.774272,101.6896,123.574528
0000000004,1,1686183515780590800,0.04864,0.051456,0.62848,23.469056,85.05472,105.837312
0000000005,1,1686183515880710100,0.032512,0.035072,0.340736,209.421824,291.56864,312.619264
0000000006,1,1686183515980842200,0.045824,0.046848,0.484352,111.362048,200.704,221.683456
0000000007,1,1686183516081825800,0.08192,0.0832,3.246848,26.566144,130.486784,151.915264
0000000008,1,1686183516181856500,0.029184,0.030464,0.389376,41.568512,96.587264,117.432064
0000000009,1,1686183516284214000,0.03328,0.03456,0.66304,221.450496,307.024128,330.79424
0000000010,1,1686183516384305400,0.0448,0.05504,0.785408,122.47296,210.457856,233.61152
0000000011,1,1686183516484283100,0.042496,0.043776,0.370432,23.027456,159.472384,180.508672
0000000012,1,1686183516584872400,0.036864,0.038144,0.466944,30.103552,313.92512,335.715072
0000000013,1,1686183516685143300,0.054528,0.06144,0.512,185.263872,260.443648,281.319424
0000000014,1,1686183516785196500,0.052224,0.060928,0.858368,86.471168,173.955328,195.451392
0000000015,1,1686183516885237500,0.042496,0.050944,0.46208,29.540608,117.09568,139.003648
0000000016,1,1686183516985339100,0.030464,0.030976,0.389888,28.729088,90.502912,111.549184
0000000017,1,1686183517085420300,0.046336,0.067584,0.591616,218.318592,333.180672,354.465024
0000000018,1,1686183517185515000,0.035584,0.036864,0.4736,120.43136,230.887936,252.016896
0000000019,1,1686183517285563000,0.037888,0.039424,0.35072,22.53568,182.116096,203.033856
0000000020,1,1686183517385730000,0.036608,0.037888,0.60544,46.31552,119.277312,140.287232
0000000021,1,1686183517485844000,0.037632,0.038656,0.457216,33.812736,118.476032,139.284992
0000000022,1,1686183517586038000,0.060416,0.062208,0.83072,32.134144,121.62816,142.660096
0000000023,1,1686183517686278100,0.04992,0.050688,1.457408,32.224512,88.487936,110.36032
0000000024,1,1686183517786201600,0.040192,0.050688,0.41728,237.216768,421.918976,443.415296
0000000025,1,1686183517886397400,0.04096,0.047872,0.505344,136.797184,268.141056,289.222144
0000000026,1,1686183517986386400,0.041728,0.043008,1.222912,40.096256,168.951296,190.88896
0000000027,1,1686183518087266600,0.031744,0.032512,3.002624,87.757056,168.762624,189.692672
0000000028,1,1686183518186651000,0.03072,0.031744,0.414976,33.10208,88.363008,109.200896
0000000029,1,1686183518287259600,0.02688,0.027648,0.467456,244.235264,392.270848,414.496
0000000030,1,1686183518388173000,0.046848,0.05504,0.477696,158.171392,312.759808,334.612224
0000000031,1,1686183518488732700,0.027904,0.028672,0.416256,59.05024,223.066624,243.947264
0000000032,1,1686183518589067800,0.052992,0.054272,0.40576,40.98816,154.734848,175.836672
0000000033,1,1686183518689158400,0.03712,0.037888,0.620288,22.08,107.587072,128.511488
0000000034,1,1686183518789275600,0.034048,0.040192,0.404736,17.286912,73.79712,94.469376
0000000035,1,1686183518889337900,0.038144,0.04224,0.3904,199.41248,324.025856,345.206016
0000000036,1,1686183518989476600,0.03968,0.04096,0.585216,101.063936,268.9152,294.53696
0000000037,1,1686183519089470000,0.026624,0.027648,0.361216,54.728192,223.551744,249.126144
0000000038,1,1686183519190196200,0.0448,0.04608,1.357056,62.846976,185.443072,208.664832
0000000039,1,1686183519290317000,0.052736,0.078848,1.933824,37.449472,108.192,129.048576
0000000040,1,1686183519390334000,0.036608,0.037376,0.4864,26.108416,105.141504,126.369024
0000000041,1,1686183519490451000,0.044288,0.051456,1.239552,29.577472,113.89056,134.889728
0000000042,1,1686183519590546700,0.032,0.033024,0.66304,32.054528,228.01152,249.171712
0000000043,1,1686183519690673000,0.0384,0.046848,0.570368,152.144128,260.327424,281.245184
0000000044,1,1686183519790885400,0.04096,0.062976,0.69504,56.420608,177.051136,198.696448
0000000045,1,1686183519891058700,0.040192,0.041216,0.417024,81.468672,162.402816,183.4688
0000000046,1,1686183519991023000,0.036608,0.04608,0.484096,79.990784,152.969472,173.76768
0000000047,1,1686183520091093500,0.03456,0.043264,0.292352,71.04128,147.84384,168.874496
0000000048,1,1686183520191770000,0.035328,0.036352,0.781056,69.782528,158.49088,179.33696
0000000049,1,1686183520291773700,0.034048,0.035328,0.503552,76.854016,159.632384,180.653824
0000000100,1,1686183521112815600,0.034304,0.035072,0.724992,13.993984,67.60832,88.892928
0000000101,1,1686183521212963000,0.043008,0.044032,2.802432,202.924288,300.56704,321.570816
0000000102,1,1686183521313055000,0.034304,0.035072,2.006784,103.580416,203.318528,225.280256
0000000103,1,1686183521414305800,0.02816,0.029184,0.755456,53.357056,166.554368,188.386048
0000000104,1,1686183521515726000,0.033024,0.036352,0.480512,28.999424,83.80672,104.785408
0000000105,1,1686183521615762000,0.03328,0.034304,0.43904,211.570432,301.632256,322.5408
0000000106,1,1686183521715935500,0.068608,0.07808,0.635392,114.158848,218.8032,240.443904
0000000107,1,1686183521815989500,0.044544,0.045824,0.617216,20.6912,149.842688,172.67328
0000000108,1,1686183521916058400,0.037376,0.0384,0.819456,33.74848,91.204096,111.929856
0000000109,1,1686183522016060400,0.044544,0.0512,0.412928,226.39872,328.781312,350.508544
0000000110,1,1686183522116192000,0.044032,0.051968,0.412928,125.576704,231.02976,252.542976
0000000111,1,1686183522216535300,0.046336,0.047616,1.452032,29.908224,164.9856,186.084352
0000000112,1,1686183522316892400,0.040448,0.041472,1.114624,42.993408,101.150976,123.766784
0000000113,1,1686183522418848000,0.155392,0.270592,1.297152,227.603456,336.8512,357.66912
0000000114,1,1686183522518890800,0.065536,0.079872,0.73216,138.216704,279.859456,300.656896
0000000115,1,1686183522619007000,0.039168,0.047104,1.82784,41.774848,200.501248,221.503488
0000000116,1,1686183522719109400,0.1984,0.200192,0.64768,73.097984,140.325376,161.523456
0000000117,1,1686183522819680000,0.026624,0.027648,1.146112,56.047872,104.386304,125.351168
0000000118,1,1686183522919341300,0.039168,0.04608,0.416,14.30784,64.929024,85.825024
0000000119,1,1686183523020071200,0.170752,0.18688,0.847872,190.52928,285.132032,306.272512
0000000120,1,1686183523120144400,0.043008,0.0512,1.052928,91.433984,192.02304,213.138176
0000000121,1,1686183523220439600,0.198144,0.199168,0.67584,39.413248,148.1536,169.841408
0000000122,1,1686183523320989700,0.029184,0.029952,0.422656,54.412544,141.657856,163.42272
0000000123,1,1686183523422612200,0.044544,0.046336,0.517888,52.601088,107.574528,128.380416
0000000124,1,1686183523522770000,0.04096,0.048384,0.540928,17.112576,67.432448,88.284928
0000000125,1,1686183523622833200,0.025088,0.025856,0.390144,208.016896,314.852864,336.079104
0000000126,1,1686183523723012600,0.04864,0.050176,0.594688,108.806656,248.08832,269.347072
0000000127,1,1686183523823542000,0.243456,0.245248,1.238016,29.42592,174.242816,195.373568
0000000128,1,1686183523923325700,0.060416,0.061952,0.448,37.387776,114.920704,135.8144
0000000129,1,1686183524023272400,0.027648,0.028928,0.3968,27.8784,86.553088,107.340032
0000000130,1,1686183524123425500,0.039424,0.047872,0.384256,211.213312,309.21856,330.304512
0000000131,1,1686183524223554600,0.042496,0.043776,1.608448,114.991872,196.765696,217.695488
0000000132,1,1686183524323561500,0.027648,0.02816,0.600064,19.062016,141.550336,162.324736
0000000133,1,1686183524423792400,0.031232,0.032,0.354304,25.16096,303.918336,325.521152
0000000134,1,1686183524523865900,0.04352,0.051968,0.464384,180.15488,266.06464,286.985728
0000000135,1,1686183524623939000,0.06656,0.06784,0.57088,76.609536,150.553088,172.002304
0000000136,1,1686183524724061700,0.031744,0.033024,0.339456,34.824192,95.780352,116.691456
0000000137,1,1686183524824640300,0.04224,0.051456,0.418304,223.398144,297.522944,318.414592
0000000138,1,1686183524924809700,0.037632,0.045568,0.966144,130.764288,210.477312,231.52384
0000000139,1,1686183525025061600,0.06144,0.064,0.52864,31.32288,143.844864,164.730112
0000000140,1,1686183525125456400,0.036864,0.038144,0.571392,33.348608,111.301632,132.449536
0000000141,1,1686183525225586400,0.032768,0.034816,0.47488,28.562432,112.710144,134.023168
0000000142,1,1686183525325725000,0.039936,0.042496,0.607232,31.869696,114.963456,135.948544
0000000143,1,1686183525426081300,0.0768,0.08704,0.587776,34.083072,117.927168,138.979328
0000000144,1,1686183525526009600,0.0448,0.060672,0.552448,37.469952,121.005824,141.995008
0000000145,1,1686183525626143000,0.04096,0.042496,0.44416,42.935552,120.843264,142.616064
0000000146,1,1686183525726234400,0.035328,0.036608,0.387328,51.180032,127.087616,147.963648
0000000147,1,1686183525826416600,0.043264,0.044288,0.417024,45.60256,116.6272,137.750528
