gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686184168101114000,0.05888,0.059904,0.655616,24.343552,75.26912,96.389632
0000000001,1,1686184168201293800,0.03968,0.047104,0.52992,210.967296,315.443712,336.26112
0000000002,1,1686184168301467600,0.036864,0.038144,1.096704,112.825344,202.760704,223.929088
0000000003,1,1686184168401554700,0.04352,0.0448,0.960512,22.381568,146.501632,167.871232
0000000004,1,1686184168501607400,0.041216,0.04224,0.616192,30.096384,121.1264,142.756352
0000000005,1,1686184168601646300,0.030976,0.037888,0.561664,32.523008,90.581504,111.47136
0000000006,1,1686184168701759500,0.038144,0.039168,1.293568,217.013504,298.591744,319.625472
0000000007,1,1686184168801844700,0.047104,0.055296,0.480256,121.00096,233.059072,254.00576
0000000008,1,1686184168901799200,0.04224,0.049664,0.380672,20.491264,99.821312,121.542912
0000000009,1,1686184169001952000,0.030976,0.040448,0.39168,44.362752,95.426304,116.497152
0000000010,1,1686184169101959400,0.02048,0.021504,0.432896,222.808576,291.744256,312.521728
0000000011,1,1686184169202057200,0.032256,0.03456,0.531968,123.370496,195.410432,216.467456
0000000012,1,1686184169303065900,0.035584,0.036864,0.74112,23.661568,126.35776,148.104192
0000000013,1,1686184169403083000,0.039168,0.049152,0.362496,38.503936,117.830144,138.768128
0000000014,1,1686184169503289300,0.04224,0.04352,0.65408,49.092864,139.792896,160.901632
0000000015,1,1686184169603388200,0.04096,0.041984,0.43008,55.437824,126.939648,148.187648
0000000016,1,1686184169703625200,0.05632,0.057344,0.722176,44.816384,103.914496,125.814784
0000000017,1,1686184169803620000,0.045312,0.046592,0.423936,18.717184,79.623936,101.137408
0000000018,1,1686184169903693000,0.03456,0.035584,0.404992,212.911616,287.641344,308.7872
0000000019,1,1686184170003776300,0.032256,0.042496,0.695552,117.118976,191.950592,212.959488
0000000020,1,1686184170103907800,0.028672,0.02944,0.659456,26.665728,123.528192,145.675776
0000000021,1,1686184170204300800,0.036352,0.04352,0.382464,35.445504,92.151296,113.133312
0000000022,1,1686184170304430800,0.0256,0.026368,0.364032,218.615552,294.098176,314.900992
0000000023,1,1686184170404568600,0.049664,0.075264,0.581888,120.470528,206.632448,227.725056
0000000024,1,1686184170505008600,0.055552,0.057088,0.374272,24.257024,482.493696,506.684672
0000000025,1,1686184170604884200,0.029696,0.03072,0.321024,21.893632,736.608256,759.826944
0000000026,1,1686184170705013500,0.044032,0.0448,0.447744,282.990848,860.32256,881.943552
0000000027,1,1686184170805119200,0.055296,0.060928,0.4992,233.035776,808.73984,831.069952
0000000028,1,1686184170905279700,0.059648,0.06912,1.805824,137.947904,759.186688,780.6976
0000000029,1,1686184171006247200,1.689344,7.837696,9.051392,156.8,662.097152,683.92192
0000000030,1,1686184171105436400,0.050176,0.051456,0.572416,128.684032,597.10976,618.306816
0000000031,1,1686184171205543400,7.257344,7.267584,7.841536,177.56032,541.610496,562.422016
0000000032,1,1686184171306989000,0.059648,0.060672,4.437248,145.835264,459.611904,480.530176
0000000033,1,1686184171408663600,0.035328,0.036864,8.34176,203.196672,384.401664,407.635456
0000000034,1,1686184171507630000,0.041728,0.042752,0.50304,117.022976,282.765056,304.827648
0000000035,1,1686184171617310000,0.024576,0.0256,0.296448,56.452864,178.585088,199.72608
0000000036,1,1686184171717391600,0.019712,0.020224,0.482816,51.259648,127.693568,148.970496
0000000037,1,1686184171817468000,0.031232,0.040448,0.433152,40.472832,109.24544,130.844416
0000000038,1,1686184171917599700,0.037632,0.04736,0.539904,19.925248,82.140416,103.07328
0000000039,1,1686184172017652500,0.029952,0.030464,0.532224,201.248512,331.382016,352.895488
0000000040,1,1686184172117807000,0.036864,0.046336,0.415232,104.254464,231.554304,255.41888
0000000041,1,1686184172217849300,0.079616,0.081664,0.515328,31.296,187.712768,208.749824
0000000042,1,1686184172318137600,0.062976,0.064512,0.631808,52.56448,135.536896,156.719104
0000000043,1,1686184172418432300,0.038656,0.039936,0.405248,46.179072,103.656704,124.852992
0000000044,1,1686184172518453000,0.044288,0.067584,0.50944,16.111616,74.986752,100.08064
0000000045,1,1686184172618741000,0.054784,0.056064,0.440832,197.389568,284.61312,307.786496
0000000046,1,1686184172718841600,0.050432,0.063744,0.653568,99.2064,206.059008,227.763712
0000000047,1,1686184172818839300,0.032768,0.034304,0.35968,37.298432,144.592128,165.646592
0000000100,1,1686184172902761700,0.067072,0.068864,1.080064,25.303552,96.44544,118.850816
0000000048,1,1686184172919030300,0.07168,0.073472,0.436992,29.673984,89.852672,111.10528
0000000101,1,1686184173003308000,0.046592,0.047872,0.365056,236.768768,338.573056,360.836864
0000000049,1,1686184173019450000,0.064512,0.075264,0.520704,231.8912,470.622976,491.965696
0000000102,1,1686184173103480000,0.057088,0.06528,0.768,142.199296,277.178112,303.654144
0000000050,1,1686184173119588000,0.036864,0.038144,0.640512,130.99648,271.032832,292.800512
0000000103,1,1686184173203803000,0.041472,0.043264,0.589568,43.383552,247.894016,269.010944
0000000051,1,1686184173219646500,0.048384,0.049664,0.438784,31.987712,175.478784,196.54272
0000000104,1,1686184173303469000,0.036608,0.04352,0.520192,62.600704,223.461632,244.655872
0000000052,1,1686184173320142800,0.033024,0.034304,0.619264,102.222848,256.199936,277.34272
0000000105,1,1686184173404745500,0.036352,0.03712,0.36352,61.948416,194.331904,215.101696
0000000053,1,1686184173420281900,0.179712,0.18176,0.521984,47.270912,182.528512,204.43136
0000000106,1,1686184173504605000,0.623616,0.626176,2.391552,56.73344,144.613632,165.717248
0000000054,1,1686184173520401000,0.041728,0.043264,0.506368,77.659648,146.133248,166.983936
0000000107,1,1686184173605803000,0.033536,0.03456,1.18272,57.409536,126.4448,147.822592
0000000055,1,1686184173620388600,0.032768,0.033792,0.610816,59.159296,132.603136,153.547008
0000000108,1,1686184173705964000,0.023808,0.02432,0.524544,37.352448,119.35104,142.99776
0000000056,1,1686184173720559600,0.033792,0.034816,0.354816,49.15072,155.58016,178.412288
0000000109,1,1686184173806363600,0.059392,0.060672,0.47488,52.84224,149.151744,171.044864
0000000057,1,1686184173821179100,0.049152,0.050176,0.963328,81.720576,179.049984,199.99872
0000000110,1,1686184173906419500,0.45056,0.458752,1.258752,69.022208,159.793408,180.983552
0000000058,1,1686184173921822500,0.047104,0.04864,0.42112,32.479488,170.246144,191.319808
0000000111,1,1686184174006612700,0.041472,0.042496,0.52096,75.186944,141.64992,162.716672
0000000059,1,1686184174021256400,0.027648,0.02816,0.417792,33.388544,110.845696,132.158976
0000000112,1,1686184174107559700,0.03712,0.038656,1.057024,64.12032,187.49568,213.421568
0000000060,1,1686184174121362700,0.04224,0.051712,0.591872,26.25664,139.6288,160.80128
0000000113,1,1686184174210483500,0.04096,0.04224,1.601792,37.681408,156.511232,177.521152
0000000061,1,1686184174221614000,0.049664,0.050944,0.443648,50.764288,128.205824,148.952576
0000000114,1,1686184174310852400,0.052224,0.060672,0.470528,71.746816,143.234816,164.11264
0000000062,1,1686184174321913000,0.034304,0.035584,0.585984,43.491328,114.727168,135.68512
0000000115,1,1686184174410909000,0.030464,0.031488,0.813824,59.588608,138.1696,159.006976
0000000063,1,1686184174422184000,0.03456,0.035584,0.405504,30.1184,121.340672,142.68288
0000000116,1,1686184174511012000,0.032,0.048384,0.449024,55.288576,125.44256,146.53696
0000000064,1,1686184174522106600,0.02304,0.023808,0.36096,37.364224,110.92608,132.342272
0000000117,1,1686184174611067600,0.037376,0.048896,0.454912,39.68384,105.169408,126.072064
0000000065,1,1686184174622175000,0.023808,0.02432,1.879296,23.68256,91.890944,113.020928
0000000118,1,1686184174711181300,0.043264,0.052224,0.428544,15.581696,71.634432,92.804096
0000000066,1,1686184174722749700,0.028928,0.029952,0.286208,221.830912,331.747584,352.608768
0000000119,1,1686184174811313400,0.041728,0.054016,0.434944,210.552832,326.176,350.141952
0000000067,1,1686184174822964200,0.047616,0.04864,0.482048,122.610432,248.435712,270.063104
0000000120,1,1686184174911423500,0.083456,0.096768,0.746496,112.23552,245.165568,266.529792
0000000068,1,1686184174923230200,0.029696,0.030464,0.591872,22.5088,204.00768,225.028096
0000000121,1,1686184175011597800,0.051456,0.052736,0.345088,28.860928,209.13152,230.469632
0000000069,1,1686184175023641000,0.040192,0.04864,0.489984,59.233536,175.54816,196.915968
0000000122,1,1686184175111748600,0.039936,0.064512,0.537856,60.676608,154.733568,176.420864
0000000070,1,1686184175124088800,0.05504,0.067072,0.421632,42.51008,163.789824,185.048064
0000000123,1,1686184175211807500,0.05248,0.05376,0.940032,37.563136,132.99328,153.944576
0000000071,1,1686184175224152600,0.041984,0.049664,0.376064,86.921984,210.835456,231.99744
0000000124,1,1686184175311923200,0.054784,0.056576,0.518144,64.017408,191.10528,212.330496
0000000072,1,1686184175324238000,0.045312,0.05248,0.414208,28.123392,258.322944,279.880448
0000000125,1,1686184175412043000,0.039168,0.040192,0.877824,114.485504,255.543296,276.56192
0000000073,1,1686184175424500700,0.039424,0.040448,0.516608,48.54656,204.673536,227.230976
0000000126,1,1686184175512184300,0.047104,0.048128,0.447232,48.064768,245.060608,266.54336
0000000074,1,1686184175524783600,0.029696,0.03072,2.319104,90.366976,259.327488,280.417024
0000000127,1,1686184175613015300,0.048128,0.049408,0.39552,90.692608,216.763392,237.929728
0000000075,1,1686184175625479400,0.045824,0.04736,0.45824,49.502464,288.259584,309.317888
0000000128,1,1686184175712623900,0.046336,0.047872,0.366336,34.3296,167.972864,189.074176
0000000076,1,1686184175725739000,0.035328,0.036352,0.670464,104.315392,367.942144,388.9024
0000000129,1,1686184175812741600,0.05504,0.063232,0.620032,41.682176,153.2544,174.784
0000000077,1,1686184175825874700,1.71136,1.71264,2.0864,111.38304,301.541376,325.520896
0000000130,1,1686184175912978700,0.051968,0.052992,0.523008,78.853888,249.051904,270.177024
0000000078,1,1686184175926086400,0.089856,0.100864,0.632832,42.400512,213.611008,234.58048
0000000131,1,1686184176013081900,0.052224,0.059648,0.602112,66.255872,258.201344,280.214528
0000000079,1,1686184176026460000,0.053248,0.061184,0.443136,106.565376,243.138048,264.156672
0000000132,1,1686184176113149400,0.036864,0.037888,0.403456,85.332224,189.905664,210.86336
0000000133,1,1686184176213402000,0.045056,0.046592,0.744704,38.5216,112.28288,133.938944
0000000134,1,1686184176313552100,0.034304,0.035328,0.377088,22.807808,76.584192,97.90592
0000000135,1,1686184176413732900,0.020992,0.021504,0.652544,203.965696,322.107392,349.728768
0000000136,1,1686184176513932800,0.0576,0.073984,0.681216,104.173312,232.007424,255.611904
0000000137,1,1686184176614375400,0.03712,0.037888,0.473344,25.33248,187.447808,208.410624
0000000138,1,1686184176714422300,0.049152,0.050688,0.4352,54.514176,127.024128,147.877632
0000000139,1,1686184176814523400,0.043264,0.063744,0.580608,41.406976,97.663488,118.91072
0000000140,1,1686184176914488300,0.033536,0.04608,0.444928,228.10624,309.210624,330.327552
0000000141,1,1686184177014674000,0.051456,0.05888,0.501504,129.418752,257.47712,278.351104
0000000142,1,1686184177114795300,0.043776,0.052736,0.472064,29.112576,111.405824,133.021696
0000000143,1,1686184177214916900,0.04736,0.05248,0.438784,29.256448,91.628032,112.336384
0000000144,1,1686184177315013400,0.037376,0.045568,0.389632,251.99488,446.61376,468.029184
0000000145,1,1686184177415227000,0.054784,0.056064,0.590592,154.781952,422.896384,443.744512
0000000146,1,1686184177515207400,0.14464,0.2624,0.837888,53.023488,323.284224,345.417728
0000000147,1,1686184177615762200,0.11648,0.117504,0.838656,69.991424,308.80512,330.049024
0000000200,1,1686184177714168600,0.166144,0.167936,0.754176,54.867712,342.333952,363.787264
0000000148,1,1686184177715700700,0.026112,0.02688,4.086272,98.5408,290.949888,312.414208
0000000201,1,1686184177814341000,0.062208,0.063488,4.071424,59.59552,468.539648,489.366784
0000000149,1,1686184177822120200,0.027904,0.029184,4.570368,53.164032,318.79296,340.286208
0000000202,1,1686184177914524200,0.235776,0.243456,16.402688,206.773504,437.278976,459.232256
0000000150,1,1686184177925081900,0.030208,0.031488,0.37248,142.83904,407.241984,428.901888
0000000203,1,1686184178014559000,0.051712,0.059392,0.687104,118.13248,411.767296,433.420032
0000000151,1,1686184178022205700,0.051712,0.052736,0.43904,50.49984,340.871936,361.698304
0000000204,1,1686184178114747600,0.049152,0.050176,0.85632,71.493376,353.34272,375.044864
0000000152,1,1686184178122334000,0.038656,0.041216,0.435712,73.494784,311.51488,332.899584
0000000205,1,1686184178214837200,0.175104,0.17664,0.468992,62.363648,296.46848,317.698048
0000000153,1,1686184178222813200,0.050688,0.051712,0.366336,58.684416,364.278016,385.304832
