gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000308,1,1686749752447975400,0.030464,0.032512,0.598016,28.511232,85.23904,106.396416
0000000213,1,1686749752711463200,0.04224,0.043008,0.70656,19.063296,86.741248,107.719168
0000000402,1,1686749752816009700,0.079616,0.08064,0.504832,21.535488,83.321344,106.062592
0000000026,1,1686749752961473500,0.044032,0.0448,0.45824,20.043264,77.890304,99.064576
0000000119,1,1686749753188843300,0.0448,0.04608,0.527616,20.265728,89.53344,110.763264
0000000309,1,1686749753448210000,0.044288,0.045312,0.621056,23.467776,86.97472,107.739904
0000000214,1,1686749753711544800,0.049408,0.050432,0.698368,21.899776,87.853824,108.790016
0000000403,1,1686749753816194300,0.022272,0.022784,0.538624,21.251328,86.420736,109.444608
0000000027,1,1686749753961719000,0.0448,0.045568,0.654336,20.02304,81.549312,102.866688
0000000120,1,1686749754189128400,0.037888,0.038912,1.769216,21.471488,93.190912,114.375936
0000000310,1,1686749754448513000,0.062208,0.062976,0.57216,17.168384,73.367552,94.611712
0000000215,1,1686749754711782000,0.044032,0.045312,0.475136,19.1168,74.354944,97.2352
0000000404,1,1686749754816356600,0.039168,0.040704,0.654592,20.90752,87.61728,108.629504
0000000028,1,1686749754962006800,0.043264,0.044288,0.664064,20.889856,80.2496,101.480192
0000000121,1,1686749755189432300,0.057344,0.058624,0.53504,20.635392,88.454144,109.680896
0000000311,1,1686749755448748000,0.055808,0.056576,0.739328,20.19328,88.567296,109.698816
0000000216,1,1686749755712016600,0.048896,0.04992,0.581888,20.862976,78.501888,99.725312
0000000405,1,1686749755816681200,0.062208,0.062976,0.685056,16.984576,72.35456,93.57568
0000000029,1,1686749755962196000,0.032,0.033024,0.553984,15.065344,81.040896,102.220288
0000000122,1,1686749756189669000,0.039936,0.040704,0.652288,17.88416,73.603328,94.715904
0000000312,1,1686749756449074400,0.048128,0.049152,0.644608,15.64672,94.406656,116.754688
0000000217,1,1686749756712149000,0.034816,0.035584,0.486656,15.683584,69.703936,90.950656
0000000406,1,1686749756816806100,0.630272,0.634368,2.46912,17.877504,70.909696,92.0384
0000000030,1,1686749756962491000,0.061696,0.062464,0.54912,21.353984,89.423104,110.509056
0000000123,1,1686749757189817900,0.04736,0.048384,0.59776,16.294144,69.043712,91.482112
0000000313,1,1686749757449299500,0.044288,0.045312,0.563712,17.979136,66.985984,88.23808
0000000218,1,1686749757712397300,0.056064,0.0576,0.606976,21.290752,105.29792,126.508032
0000000500,1,1686749757736311600,0.047104,0.048384,0.792064,28.54272,116.777728,137.784832
0000000407,1,1686749757816952600,0.041728,0.04224,0.614144,21.802752,95.321344,116.551936
0000000031,1,1686749757962733800,0.036608,0.037632,0.562432,23.799296,90.133248,111.181568
