gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686183779724190700,0.112896,0.11136,1.117184,30.824448,95.347968,116.724992
0000000001,1,1686183779824185300,0.028672,0.022272,0.350976,222.816512,304.757504,325.894144
0000000002,1,1686183779924322000,0.04992,0.043264,0.67712,124.484864,206.157824,229.42208
0000000003,1,1686183780024486400,0.057344,0.055296,0.71552,25.655552,146.381824,168.224768
0000000004,1,1686183780124509000,0.044032,0.038144,0.658688,21.542912,78.627072,99.853824
0000000005,1,1686183780224525600,0.062208,0.0512,0.498176,203.259392,284.902144,306.13376
0000000006,1,1686183780324606000,0.052224,0.04352,0.497152,105.052928,195.436544,216.422912
0000000007,1,1686183780424710000,0.059648,0.046592,0.53888,18.931456,121.720064,143.36768
0000000008,1,1686183780524750000,0.030208,0.02944,1.238528,36.141568,93.794048,116.327424
0000000009,1,1686183780625479000,0.027136,0.026368,0.460544,216.403968,290.214656,312.094464
0000000010,1,1686183780725576200,0.047104,0.04608,0.626432,121.013504,192.499712,213.845504
0000000011,1,1686183780825618200,0.0448,0.037632,0.42112,26.324736,128.660736,150.917632
0000000012,1,1686183780926120700,0.049408,0.04224,1.417472,42.759936,166.998784,189.55648
0000000013,1,1686183781026644200,0.04992,0.048896,1.234432,88.175872,338.22592,361.246464
0000000014,1,1686183781127328300,0.426496,0.417024,4.20224,94.392576,502.943232,524.430592
0000000015,1,1686183781232678700,0.037376,0.036352,1.863936,133.226752,486.246144,507.667456
0000000016,1,1686183781332051700,0.093696,0.09216,1.436928,123.436032,392.35328,414.643968
0000000017,1,1686183781432554000,0.057088,0.055808,0.420608,143.389696,372.218368,393.115136
0000000018,1,1686183781532222500,0.322816,0.315648,1.927424,104.228096,276.15104,297.491712
0000000019,1,1686183781632595000,0.072448,0.07168,0.624384,53.942016,185.723904,208.405248
0000000020,1,1686183781733673700,0.03328,0.032512,0.454912,39.208448,104.04992,124.720896
0000000021,1,1686183781833832400,0.043776,0.042496,0.320512,16.451328,68.765184,89.727488
0000000022,1,1686183781933923600,0.041472,0.033536,0.411648,198.518272,290.440448,312.158464
0000000023,1,1686183782034442800,0.039936,0.038912,0.428544,98.570752,185.670912,206.624
0000000024,1,1686183782134757000,0.0256,0.024832,0.342272,36.00896,136.061952,157.614336
0000000025,1,1686183782234773200,0.04096,0.030208,0.34816,51.660032,138.472192,159.796992
0000000026,1,1686183782336137000,0.932096,0.92032,8.665344,54.160128,148.6656,170.153984
0000000027,1,1686183782436693000,0.043264,0.041984,0.483584,69.233664,146.299392,167.486208
0000000028,1,1686183782536874200,0.066816,0.065536,2.501632,59.629056,123.967232,144.790784
0000000029,1,1686183782637287700,0.082944,0.081152,1.022208,33.151744,87.365632,108.121344
0000000030,1,1686183782736975000,0.064256,0.055552,0.673024,218.59712,302.111488,323.181824
0000000031,1,1686183782837122800,0.068608,0.059136,0.638464,119.079168,204.700416,225.54752
0000000032,1,1686183782937185300,0.23296,0.223488,0.819456,20.167424,141.13664,161.961984
0000000033,1,1686183783037349400,0.056576,0.0448,0.614656,52.836864,109.105664,130.092544
0000000034,1,1686183783137416000,0.050944,0.041472,0.458752,21.331712,77.344768,98.716672
0000000035,1,1686183783237458000,0.071168,0.047104,0.516096,214.021376,301.188608,322.4064
0000000036,1,1686183783337585700,0.047616,0.040448,0.456192,116.08448,207.94368,228.752384
0000000037,1,1686183783437751000,0.056064,0.054528,0.532224,28.0896,143.93856,165.72928
0000000038,1,1686183783537869300,0.053504,0.042496,1.081856,23.821056,84.7872,105.8112
0000000039,1,1686183783637995800,0.078848,0.06656,0.450816,283.91936,375.559424,396.732928
0000000040,1,1686183783738181600,0.071168,0.069888,0.559104,191.803392,280.77312,302.140416
0000000041,1,1686183783838259700,0.037376,0.036352,0.40576,92.568832,186.216192,207.250688
0000000042,1,1686183783938345000,0.045312,0.037888,0.36352,34.587904,140.503552,161.64736
0000000043,1,1686183784039141000,0.051968,0.050688,0.51456,50.67264,110.852352,132.21888
0000000044,1,1686183784139425800,0.0512,0.049664,0.60416,23.698688,75.532288,96.620544
0000000045,1,1686183784239252700,0.039168,0.02944,0.48128,213.069056,291.847424,313.22624
0000000046,1,1686183784339410400,0.044288,0.034816,0.504064,113.508608,204.326912,225.326848
0000000047,1,1686183784439743700,0.040448,0.039168,0.537344,20.035328,133.077504,153.975552
0000000048,1,1686183784539757000,0.045824,0.044288,0.532736,19.552768,78.506496,99.307776
0000000049,1,1686183784639829200,0.27264,0.263168,0.61696,225.107712,345.9136,367.19744
0000000050,1,1686183784740061200,0.05376,0.034304,0.525312,127.781888,245.609728,266.976768
0000000100,1,1686183784784704500,0.038912,0.038144,0.76416,18.368256,113.828864,137.237248
0000000051,1,1686183784840109600,0.051456,0.04352,0.412416,35.081472,246.8224,267.902464
0000000101,1,1686183784884710700,0.141056,0.139264,1.024,42.183168,155.645696,176.903936
0000000052,1,1686183784940241700,0.036352,0.035584,0.731904,86.447616,210.409216,232.522752
0000000102,1,1686183784984939000,0.09472,0.092672,0.589312,79.343616,188.359936,209.380096
0000000053,1,1686183785040256800,0.053504,0.039936,0.475392,48.00512,216.219648,237.234944
0000000103,1,1686183785084996600,0.205568,0.19456,1.135104,36.123392,180.465152,201.491456
0000000054,1,1686183785140363500,0.041472,0.032768,0.526592,41.658624,219.469824,240.835328
0000000104,1,1686183785184981200,0.042496,0.035072,0.479232,39.910144,134.30528,155.10784
0000000055,1,1686183785240488000,0.039936,0.038912,0.423168,43.53152,218.136064,240.525824
0000000105,1,1686183785285062700,0.055552,0.049408,0.61696,54.470912,149.570048,170.417408
0000000056,1,1686183785340548600,0.265728,0.255488,0.614144,46.01472,218.24512,240.461056
0000000106,1,1686183785385180000,0.051968,0.04224,0.530688,66.855424,168.502784,189.296128
0000000057,1,1686183785440722400,0.055552,0.054272,0.588032,53.5936,278.783488,299.786752
0000000107,1,1686183785485530600,0.047104,0.04608,1.42336,98.709248,266.602496,288.045056
0000000058,1,1686183785540824300,0.05376,0.052224,0.503552,50.270208,226.264064,247.443968
0000000108,1,1686183785585582300,0.032768,0.031744,0.370432,78.197504,231.07328,252.269824
0000000059,1,1686183785640914000,0.032512,0.031488,0.63232,127.26016,410.465536,431.497472
0000000109,1,1686183785685687300,0.033792,0.03328,0.38656,95.789056,192.291584,213.245952
0000000110,1,1686183785785767000,0.044288,0.03712,0.38016,51.840768,157.670912,179.131904
0000000111,1,1686183785885856300,0.027648,0.027136,0.564992,21.44256,84.199168,104.95488
0000000112,1,1686183785986583000,0.041984,0.040704,0.607744,204.755968,293.513728,316.742656
0000000113,1,1686183786086270000,0.044544,0.038912,0.64896,105.908992,217.543424,238.764032
0000000114,1,1686183786186801000,0.044288,0.043008,0.402944,15.659776,140.31872,161.540608
0000000115,1,1686183786286837200,0.032512,0.031232,6.420224,34.867712,88.830976,109.908736
0000000116,1,1686183786386934500,0.02432,0.023552,0.371712,235.478784,376.066048,397.568256
0000000117,1,1686183786487056400,0.072448,0.065024,0.443904,144.374016,389.188864,417.682944
0000000118,1,1686183786587254300,0.07552,0.075008,0.455424,42.804992,227.43168,248.81152
0000000119,1,1686183786687255000,0.052224,0.050944,1.7664,130.196736,254.932992,276.7872
0000000120,1,1686183786787505700,0.068864,0.068096,1.236224,42.360832,149.90336,170.981376
0000000121,1,1686183786887635700,0.045824,0.044544,2.030848,63.61216,128.267264,149.207552
0000000122,1,1686183786987651600,0.033024,0.032256,0.43008,39.921664,93.275904,114.774784
0000000123,1,1686183787087728400,0.060416,0.035072,0.536832,222.883072,324.817664,347.68256
0000000124,1,1686183787187858700,0.052736,0.044544,0.485376,134.1376,262.338048,286.298624
0000000125,1,1686183787288354000,0.036608,0.035328,0.382976,35.964672,201.494016,223.022592
0000000126,1,1686183787390823400,0.04224,0.04096,0.914688,41.467136,112.83456,133.975552
0000000127,1,1686183787491529500,0.047104,0.04096,0.5696,29.615104,130.526976,152.360192
0000000128,1,1686183787591772200,0.370944,0.363008,6.1568,52.068096,162.8416,183.856128
0000000129,1,1686183787694707500,0.066048,0.064768,5.927168,90.594304,205.218048,226.215424
0000000130,1,1686183787795453400,0.05632,0.049664,1.378816,37.825792,158.204416,179.24224
0000000131,1,1686183787895044000,0.06656,0.042496,0.514048,58.444288,390.823424,413.058048
0000000132,1,1686183787995140400,0.033536,0.032768,0.415232,188.732416,341.696,366.9184
0000000133,1,1686183788095326700,0.047104,0.045824,7.525376,90.647296,265.967104,286.982144
0000000134,1,1686183788195528700,0.049408,0.03712,0.47104,65.741568,182.286848,203.3536
