gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686181306200555000,0.047104,0.04608,0.620544,29.3632,103.499264,124.330752
0000000001,1,1686181306300736800,0.066816,0.057344,0.665856,21.669376,93.262336,118.44352
0000000002,1,1686181306400764400,0.038144,0.03712,0.568064,233.992192,343.555328,364.660992
0000000003,1,1686181306500864000,0.062464,0.048384,0.678656,134.985728,248.641536,270.073344
0000000004,1,1686181306600935200,0.046848,0.036608,0.412928,36.408832,232.78976,253.554432
0000000005,1,1686181306701027800,0.037376,0.036352,0.49536,86.331648,214.292736,235.371776
0000000006,1,1686181306801114400,0.045312,0.043776,0.813056,47.019264,156.726016,177.68448
0000000007,1,1686181306901218800,0.041472,0.040192,0.396288,38.703104,389.442048,410.78016
0000000008,1,1686181307001247500,0.038656,0.03712,0.818176,215.170304,372.304128,393.138688
0000000009,1,1686181307101320200,0.04224,0.03456,0.44672,115.826688,279.039488,299.8464
0000000100,1,1686181312364908800,0.05376,0.05248,0.982272,112.763904,231.224832,252.549888
0000000101,1,1686181312465039600,0.100096,0.097792,0.678912,36.745472,215.901696,237.11488
0000000102,1,1686181312565110500,0.075264,0.05888,2.433024,66.067456,182.195968,205.458944
0000000103,1,1686181312665452500,0.0512,0.041984,0.60288,42.255104,124.900608,146.124288
0000000104,1,1686181312765600800,0.049664,0.048128,0.440832,41.032448,119.617536,141.541632
0000000105,1,1686181312865733400,0.063488,0.05376,1.65888,48.933632,196.211712,217.84704
0000000106,1,1686181312965877200,0.046336,0.045312,0.998912,136.265984,263.159552,284.331776
0000000107,1,1686181313066181600,0.036096,0.035072,0.3968,76.384512,288.747264,311.417088
0000000108,1,1686181313166192400,0.040448,0.039424,0.509696,99.910912,322.012928,343.087104
0000000109,1,1686181313266198300,0.027904,0.027136,0.593152,147.876352,304.242688,326.784768
0000000200,1,1686181317592033300,0.09088,0.0896,0.73344,30.34752,116.65024,138.39488
0000000201,1,1686181317692062700,0.047616,0.046336,0.504832,38.209792,122.505728,144.153344
0000000202,1,1686181317792196900,0.054016,0.044032,0.67072,42.826752,126.107136,147.169792
0000000203,1,1686181317892287000,0.076288,0.073728,0.680448,48.68992,120.30976,141.174528
0000000204,1,1686181317992356000,0.04736,0.04608,0.423168,38.083328,121.72928,142.97088
0000000205,1,1686181318092461600,0.03968,0.0384,0.316928,39.122944,130.083584,151.048704
0000000206,1,1686181318192550100,0.03456,0.03328,0.465152,64.671488,184.80256,206.211584
0000000207,1,1686181318293202700,0.114688,0.112128,0.547328,110.30272,299.90784,320.910336
0000000208,1,1686181318393171000,0.04096,0.03968,5.910016,33.412864,118.631168,139.659008
0000000209,1,1686181318493250800,0.153088,0.145408,0.497152,59.702272,140.152064,160.903424
0000000300,1,1686181322181245200,0.075776,0.074752,0.732672,21.085184,94.454272,117.624832
0000000301,1,1686181322281730000,0.0704,0.068864,0.492544,241.83936,369.968128,391.99616
0000000302,1,1686181322381836000,0.049408,0.047872,1.081344,142.42688,269.694464,291.829504
0000000303,1,1686181322481832000,0.055296,0.054016,0.534528,44.685568,308.466432,329.349376
0000000304,1,1686181322581975000,0.341248,0.073216,0.81664,111.040512,274.303744,296.15104
0000000305,1,1686181322682085400,0.064768,0.05376,0.589312,65.544192,223.647744,245.27616
0000000306,1,1686181322782181600,0.039424,0.038656,3.095296,59.168512,162.146048,183.340032
0000000307,1,1686181322882257700,0.053504,0.040704,0.381952,43.782144,352.863232,374.038528
0000000308,1,1686181322982331000,0.050688,0.043264,0.515072,216.466176,336.533248,358.155008
0000000309,1,1686181323082560500,0.056576,0.048384,2.13248,116.928768,256.699392,277.60384
0000000400,1,1686181327676430800,0.042752,0.041728,0.645888,27.648256,105.70368,127.163648
0000000401,1,1686181327776769300,0.084992,0.073984,0.593152,32.249856,110.092288,131.250944
0000000402,1,1686181327876912000,0.23168,0.20736,0.703488,32.737024,150.245632,171.691008
0000000403,1,1686181327979325400,0.095744,0.077824,1.441024,76.676352,209.971968,231.102976
0000000404,1,1686181328077471200,0.046592,0.045568,2.679296,42.985216,210.038528,231.136768
0000000405,1,1686181328177513700,0.053248,0.051968,0.539136,38.5408,191.122432,211.94752
0000000406,1,1686181328277593000,0.042496,0.036352,0.466688,34.0096,193.756928,216.435456
0000000407,1,1686181328377773300,0.278016,0.267264,0.703232,37.794304,145.120768,167.937024
0000000408,1,1686181328477742300,0.045056,0.044032,0.566784,88.799232,219.62112,240.397824
0000000409,1,1686181328578405400,0.036096,0.035072,0.466176,41.405184,189.56672,210.60352
0000000500,1,1686181333038719000,0.085504,0.084224,3.389184,54.080768,181.904896,203.329792
0000000501,1,1686181333138762000,0.077824,0.069888,2.856192,107.524608,223.414016,244.498688
0000000502,1,1686181333238954500,0.033536,0.032512,0.888832,45.902848,221.881088,245.745152
0000000503,1,1686181333339708700,0.048384,0.047104,0.941824,75.643648,202.537984,223.495168
0000000504,1,1686181333439798500,0.036352,0.035072,0.62208,35.820544,155.111168,175.844608
0000000505,1,1686181333539801000,0.045056,0.044032,0.581376,27.734272,390.01344,411.632896
0000000506,1,1686181333639874300,0.029696,0.028672,1.011968,212.00384,359.015936,380.715776
0000000507,1,1686181333740041000,0.051456,0.044032,0.429056,124.164608,266.589184,287.520512
0000000508,1,1686181333840118000,0.044544,0.037376,0.43904,37.849088,188.604928,209.733888
0000000509,1,1686181333940907500,0.041984,0.040704,0.882944,94.579456,170.125056,191.245312
0000000600,1,1686181338476052200,0.136448,0.133888,1.277184,35.329792,216.146944,238.265856
0000000601,1,1686181338576188200,0.07808,0.076544,1.1328,146.488832,309.818368,331.278848
0000000602,1,1686181338676168400,0.076032,0.074752,0.472064,83.59552,267.090176,288.520704
0000000603,1,1686181338776180200,0.037888,0.036864,0.551424,55.008256,267.267072,288.294144
0000000604,1,1686181338876302800,0.045568,0.0384,0.532736,56.993536,262.00064,283.620096
0000000605,1,1686181338976412200,0.046336,0.045056,0.873216,96.570112,242.359808,263.462912
0000000606,1,1686181339077328100,0.062208,0.060672,0.475392,82.755328,245.096448,266.6688
0000000607,1,1686181339177422300,0.034304,0.026624,0.479488,66.149632,171.361024,194.298368
0000000608,1,1686181339278056000,0.032512,0.031744,2.605824,67.179264,141.530112,164.069376
0000000609,1,1686181339378142000,0.035584,0.03456,0.321792,62.14912,138.427392,160.343552
0000000700,1,1686181345822805500,0.057856,0.03968,0.70656,26.011392,95.071232,116.343552
0000000701,1,1686181345923421400,0.04352,0.037376,0.477184,252.073472,360.682496,383.245312
0000000702,1,1686181346023568600,0.032512,0.032,0.546816,158.289408,361.529344,383.71072
0000000703,1,1686181346123646000,0.03328,0.032768,0.538624,58.112256,183.066368,204.07424
0000000704,1,1686181346224355600,0.032,0.030976,0.259328,108.012288,247.407104,268.9024
0000000705,1,1686181346324552700,0.051968,0.050688,0.831232,33.705216,171.14624,192.44288
0000000706,1,1686181346424611000,0.067072,0.04224,0.45696,72.01152,480.482816,502.354688
0000000707,1,1686181346524705300,0.035584,0.034816,0.528896,256.453888,402.171136,423.358976
0000000708,1,1686181346625542400,0.040704,0.039424,1.22112,162.655232,327.791104,349.569024
0000000709,1,1686181346726137600,0.044288,0.043008,0.44032,63.367424,241.793024,262.807296
0000000800,1,1686181350741271800,0.08448,0.075264,1.101568,29.031424,105.63328,127.113472
0000000801,1,1686181350841412000,0.068352,0.05888,0.598528,22.196224,102.379008,124.599296
0000000802,1,1686181350944071400,0.045824,0.044544,0.805888,309.828608,792.982272,814.111744
0000000803,1,1686181351044425000,0.058624,0.056832,0.75648,258.635264,704.566272,725.626112
0000000804,1,1686181351144611000,0.041216,0.039936,0.42496,197.747712,611.597824,633.490176
0000000805,1,1686181351244667000,0.038912,0.037632,0.620032,123.794688,565.768704,586.90432
0000000806,1,1686181351345305300,0.032,0.031232,0.836352,125.021696,496.357376,517.410304
0000000807,1,1686181351445798400,0.043776,0.042496,2.527744,130.463744,432.435968,453.650688
0000000808,1,1686181351549538800,0.037632,0.036352,0.365056,90.961152,355.110656,376.202752
0000000809,1,1686181351649584600,0.03584,0.035072,0.667648,110.78016,265.731072,287.06816
0000000900,1,1686181356704231400,0.064,0.06272,1.612544,37.564928,163.205376,184.578304
0000000901,1,1686181356804462300,0.06272,0.061696,0.573952,83.445504,181.985024,203.246336
0000000902,1,1686181356904288000,0.049152,0.040192,0.730624,26.053888,159.23968,180.257792
0000000903,1,1686181357004390700,0.046848,0.039936,0.514816,77.230336,162.865152,183.730176
0000000904,1,1686181357105067800,0.061184,0.039936,0.505856,82.128896,191.442688,214.774272
0000000905,1,1686181357205076200,0.044288,0.043008,1.452288,22.671872,193.868288,214.899712
0000000906,1,1686181357305248300,0.048384,0.046848,0.705024,41.328128,133.12896,153.99168
0000000907,1,1686181357405699300,0.040704,0.031744,1.39648,52.495616,126.592512,149.77408
0000000908,1,1686181357505973000,0.069632,0.046336,0.60544,45.910784,151.646208,173.083392
0000000909,1,1686181357606579500,0.041472,0.040192,0.446208,77.609984,154.614016,175.637504
