gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686183961844500200,0.120832,0.119296,1.069312,33.959936,98.846976,120.069632
0000000001,1,1686183961944522200,0.098304,0.085504,0.780032,223.629312,298.953472,320.20224
0000000002,1,1686183962044685600,0.05376,0.051968,0.797184,124.086272,198.760448,220.116736
0000000003,1,1686183962144757500,0.051968,0.050688,0.53888,24.444672,126.142208,148.066304
0000000004,1,1686183962244776000,0.037632,0.036864,0.39424,39.070208,102.00704,122.801152
0000000005,1,1686183962344869000,0.040704,0.039168,0.40576,233.410304,327.263232,348.78336
0000000006,1,1686183962444990000,0.050944,0.049664,2.301696,134.04928,270.028288,291.049984
0000000007,1,1686183962545138200,0.069888,0.057344,0.752128,34.19776,128.364544,150.315264
0000000008,1,1686183962645137400,0.054272,0.052736,0.39808,44.651008,111.358208,133.330176
0000000009,1,1686183962745197800,0.033536,0.027392,0.448,19.426048,76.361472,97.837824
0000000010,1,1686183962845414000,0.082176,0.067072,0.626944,206.235904,301.23392,322.81088
0000000011,1,1686183962945535200,0.04352,0.042752,0.459264,107.46368,206.704896,227.648
0000000012,1,1686183963045813000,0.101376,0.100096,1.122304,32.833792,134.675456,156.335616
0000000013,1,1686183963146254800,0.033536,0.032512,0.442368,43.702784,102.361856,123.447552
0000000014,1,1686183963246046500,0.051456,0.049408,0.416512,16.799232,72.728064,93.8368
0000000015,1,1686183963346146600,0.040448,0.038656,0.51584,195.151104,280.813312,302.546688
0000000016,1,1686183963447375400,0.04352,0.041984,0.943872,96.9664,184.224512,205.144064
0000000017,1,1686183963547387600,0.041984,0.032512,0.595456,34.78528,147.954688,169.17888
0000000018,1,1686183963647531300,0.05888,0.0576,0.534528,56.288256,112.551424,134.006784
0000000019,1,1686183963747633400,0.029952,0.029184,0.576512,26.77248,117.624832,141.403392
0000000020,1,1686183963855036400,1.024256,1.021696,1.435904,27.452672,90.315776,111.312896
0000000021,1,1686183963954885000,0.040448,0.03968,0.402688,222.184192,311.798016,332.612608
0000000022,1,1686183964055023600,0.043264,0.04224,0.48384,121.564928,202.19136,223.31648
0000000023,1,1686183964155043300,0.042752,0.041472,0.426496,22.182912,146.286592,167.497728
0000000024,1,1686183964255212000,0.056832,0.055552,0.942336,26.035968,88.704768,110.317312
0000000025,1,1686183964355415800,0.058624,0.050688,1.133568,219.456512,302.702336,324.603392
0000000026,1,1686183964455523000,0.034816,0.033792,0.492032,125.749504,219.769344,240.685312
0000000027,1,1686183964555505400,0.033024,0.027648,0.3904,27.05024,145.19552,166.971648
0000000028,1,1686183964656532200,0.050688,0.049152,1.601024,30.678784,89.038592,109.98656
0000000029,1,1686183964756614100,0.032,0.030976,0.39552,217.384192,307.378944,329.03808
0000000030,1,1686183964856791600,0.037632,0.036608,0.539904,118.013696,204.174336,225.13408
0000000031,1,1686183964957716500,0.139008,0.126976,0.584192,18.452992,141.822464,163.166464
0000000032,1,1686183965057888300,0.046848,0.045568,0.612096,19.560704,78.280704,99.910656
0000000033,1,1686183965158017300,0.048896,0.040704,0.508416,198.61248,299.562752,320.697344
0000000034,1,1686183965258051600,0.054016,0.044288,0.518912,100.402944,203.421184,224.333056
0000000035,1,1686183965357998300,0.031744,0.030464,0.617984,32.24064,156.925952,178.34112
0000000036,1,1686183965458039300,0.044288,0.036864,1.071616,29.664256,82.0544,103.111424
0000000037,1,1686183965558260200,0.048896,0.041984,0.468224,210.481408,281.233664,303.405056
0000000038,1,1686183965658342100,0.039424,0.036352,0.398592,111.13856,192.892928,214.266624
0000000039,1,1686183965760003000,0.048128,0.047104,0.49024,23.188224,117.3824,140.302592
0000000040,1,1686183965858866200,0.037632,0.036608,0.479488,29.38112,89.25184,110.257664
0000000041,1,1686183965959738000,0.033024,0.032512,0.4288,219.19104,302.24,325.07904
0000000042,1,1686183966059852300,0.061184,0.04992,0.587264,118.881536,203.202048,225.250048
0000000043,1,1686183966159880200,0.034048,0.03328,0.6912,21.353984,130.779136,151.797248
0000000044,1,1686183966260194000,0.122368,0.120832,1.6128,42.620928,102.263808,123.525888
0000000045,1,1686183966360289500,0.045056,0.044032,0.359424,16.803328,77.886208,99.047936
0000000046,1,1686183966460993300,0.046592,0.034048,0.433408,208.61312,375.43296,396.553728
0000000047,1,1686183966560604700,0.038656,0.037888,0.491776,109.075456,256.439552,278.246912
0000000048,1,1686183966661047800,0.101376,0.099328,0.71168,32.52352,249.845504,271.040256
0000000100,1,1686183966703075300,0.09728,0.095744,0.801536,50.944256,165.878528,187.363072
0000000049,1,1686183966761166000,0.29696,0.290304,2.18496,84.365056,207.591168,229.985792
0000000101,1,1686183966803209500,0.058624,0.057344,0.717056,89.884928,203.661312,225.35424
0000000050,1,1686183966861356000,0.047872,0.046336,1.312,33.946112,129.236992,150.06464
0000000102,1,1686183966903540500,0.051968,0.045056,0.4928,36.045312,164.540672,186.431488
0000000051,1,1686183966964063700,0.03584,0.03456,0.414976,27.723776,308.772608,329.816064
0000000103,1,1686183967003577000,0.085504,0.084224,0.507904,28.982016,87.05024,108.331776
0000000052,1,1686183967062848500,0.041984,0.04096,0.55424,160.950016,278.372864,299.396864
0000000104,1,1686183967103772200,0.060672,0.05888,0.506624,233.403392,365.36192,386.733056
0000000053,1,1686183967163038500,0.29824,0.29568,1.283328,62.067456,184.775168,205.900288
