gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686182797181555000,0.048384,0.047104,0.65792,25.924352,94.73408,116.189184
0000000001,1,1686182797281931300,0.036352,0.030464,0.43136,217.12896,282.841344,305.2032
0000000002,1,1686182797381974000,0.031744,0.030976,0.558336,120.137728,226.459904,247.36512
0000000003,1,1686182797482077200,0.032,0.03072,0.672768,20.223488,104.640768,125.86624
0000000004,1,1686182797582251000,0.071424,0.070144,0.506624,24.805632,329.295616,351.083008
0000000005,1,1686182797682911000,0.05376,0.05248,0.789504,167.608064,271.702528,295.575808
0000000006,1,1686182797783226000,0.044544,0.037632,0.671232,76.431616,224.050688,245.755392
0000000007,1,1686182797883646200,0.36352,0.2944,0.7808,23.550976,157.252352,178.386944
0000000008,1,1686182797984195600,0.026368,0.025344,3.502592,37.724928,193.69472,215.484416
0000000009,1,1686182798084344300,0.046592,0.045312,0.497408,105.24416,221.11872,242.208
0000000010,1,1686182798184423400,0.04224,0.04096,0.316928,44.932352,247.379712,271.771904
0000000011,1,1686182798284537000,0.048384,0.047104,1.17248,86.615296,259.165184,280.046848
0000000012,1,1686182798384654800,0.03712,0.03584,0.40064,77.884672,261.419776,282.202368
0000000013,1,1686182798484849400,0.054528,0.052736,0.531456,35.169792,199.528448,221.677568
0000000014,1,1686182798584871700,0.040704,0.03968,0.569856,56.769536,169.523968,191.436288
0000000015,1,1686182798684895000,0.032512,0.031232,0.397568,85.305856,182.925056,204.52096
0000000016,1,1686182798784996900,0.04608,0.038912,0.454656,24.125696,162.6752,183.783936
0000000017,1,1686182798885283800,0.039424,0.037888,0.506624,82.86464,162.910976,183.658752
0000000018,1,1686182798985220900,0.033792,0.032512,0.449792,80.906496,177.078016,198.45632
0000000019,1,1686182799085253000,0.030464,0.02944,0.419328,127.816192,262.015488,284.86016
0000000100,1,1686182801759792000,0.052992,0.044032,0.824576,16.05376,70.010112,91.339264
0000000101,1,1686182801859928800,0.086784,0.08576,0.724992,190.6368,261.703168,283.042048
0000000102,1,1686182801960062000,0.048128,0.04096,0.486912,90.895872,162.176256,183.476224
0000000103,1,1686182802060328700,0.060928,0.059392,0.499968,23.653632,111.930624,134.226432
0000000104,1,1686182802160417000,0.032256,0.031488,0.521216,24.97152,87.9168,108.78592
0000000105,1,1686182802260552400,0.054016,0.05248,0.41984,210.303232,283.04128,304.758016
0000000106,1,1686182802362325500,0.04992,0.04864,1.316608,111.604224,197.677824,218.528512
0000000107,1,1686182802463013400,0.039168,0.037888,0.392704,18.85696,121.19168,142.388736
0000000108,1,1686182802563709200,0.065536,0.04352,1.030144,30.25152,82.147584,102.924032
0000000109,1,1686182802663740200,0.037376,0.030208,0.471296,232.985344,386.298112,407.379968
0000000110,1,1686182802763837000,0.045824,0.039936,0.502016,131.262208,306.699008,328.18944
0000000111,1,1686182802863920600,0.052992,0.051456,2.794496,38.296832,302.91072,323.93216
0000000112,1,1686182802964731400,1.249024,1.238784,2.009856,120.296704,288.124672,309.361664
0000000113,1,1686182803064601300,0.037888,0.036864,0.383488,44.820992,222.246912,246.944256
0000000114,1,1686182803165691000,0.035328,0.034304,0.57344,133.239808,327.356416,348.453888
0000000115,1,1686182803265729500,0.038144,0.03712,0.50176,61.904384,282.07104,304.15232
0000000116,1,1686182803365764600,0.040448,0.03968,0.36096,69.351168,398.695936,419.73888
0000000117,1,1686182803465888500,0.04608,0.0448,1.120512,67.692032,291.614976,312.88064
0000000118,1,1686182803565959700,0.236288,0.043776,0.92032,86.81344,375.475968,398.745088
0000000119,1,1686182803666241300,0.047872,0.039936,0.425728,62.568448,330.150912,351.15904
0000000200,1,1686182807188819500,0.08448,0.078848,0.697088,16.774144,76.9728,98.393088
0000000201,1,1686182807289926400,0.037888,0.036864,0.654336,198.492672,275.287552,296.285184
0000000202,1,1686182807389344000,0.037888,0.036864,0.54528,100.648704,196.766976,218.499584
0000000203,1,1686182807489419800,0.045824,0.037376,0.4352,31.027456,111.163136,132.867584
0000000204,1,1686182807589899800,0.045056,0.037632,0.387584,23.228928,79.33312,100.459008
0000000205,1,1686182807689572900,0.069376,0.068864,0.549376,201.914624,307.585792,328.976896
0000000206,1,1686182807789733400,0.064512,0.063488,0.511232,101.822464,192.64128,214.350336
0000000207,1,1686182807890041300,0.334336,0.3264,0.781568,15.725824,134.640896,155.593216
0000000208,1,1686182807990307000,0.040192,0.031232,0.36736,20.640768,73.554944,94.44992
0000000209,1,1686182808090337000,0.034816,0.033792,0.383488,208.26368,302.624256,324.371712
0000000210,1,1686182808190483500,0.048128,0.038912,0.461568,111.689216,232.428288,253.929984
0000000211,1,1686182808290622700,0.076288,0.065792,0.581632,31.188992,174.84672,197.614592
0000000212,1,1686182808390625500,0.064768,0.05248,0.509696,58.865664,155.805696,176.735232
0000000213,1,1686182808490747600,0.059392,0.058112,0.600832,76.570368,170.718208,192.022528
0000000214,1,1686182808590968800,0.052224,0.050688,0.477696,95.792128,474.612224,497.704192
0000000215,1,1686182808692171800,0.028928,0.027648,0.350208,110.576384,579.948288,600.974592
0000000216,1,1686182808792673000,0.039424,0.0384,2.095104,82.735104,515.234048,537.26464
0000000217,1,1686182808893759200,0.225792,0.045824,1.407744,121.65376,420.064256,441.6128
0000000218,1,1686182808993778000,0.043776,0.042496,1.2032,119.784704,326.560256,347.662848
0000000219,1,1686182809093972000,0.033024,0.032,0.456192,87.047936,241.299456,262.253568
0000000300,1,1686182813220740600,0.109312,0.10752,0.954112,19.560448,71.841024,92.993536
0000000301,1,1686182813320770800,0.032256,0.031744,0.958976,195.703552,343.621632,364.724992
0000000302,1,1686182813420900600,0.050944,0.040192,0.533248,97.203456,244.242688,270.89536
0000000303,1,1686182813521492000,0.028672,0.027136,0.33792,40.96768,222.32576,243.303168
0000000304,1,1686182813622737200,1.250048,1.2416,2.467584,60.926976,198.032384,219.247872
0000000305,1,1686182813722621000,0.06144,0.054528,0.780544,55.802368,160.608,181.444608
0000000306,1,1686182813822395400,0.042496,0.041472,0.555008,32.529664,91.823872,112.613632
0000000307,1,1686182813923120600,0.023296,0.022272,1.128448,226.398208,298.294528,319.414272
0000000308,1,1686182814023279000,0.049664,0.042752,0.457216,126.987008,208.94208,233.799424
0000000309,1,1686182814123862300,0.035072,0.034048,0.362752,28.190208,162.1312,183.171072
0000000310,1,1686182814224349400,0.028416,0.027648,0.283904,34.647552,378.267392,399.091712
0000000311,1,1686182814324457500,0.048896,0.041216,0.509696,235.6864,378.110976,400.671232
0000000312,1,1686182814424621600,0.042496,0.041472,0.397824,135.462912,282.996224,303.697664
0000000313,1,1686182814524703700,0.047104,0.037632,0.462336,40.571648,202.467072,223.651584
0000000314,1,1686182814624773400,0.032512,0.031232,1.64864,103.076864,510.686976,531.623424
0000000315,1,1686182814725165000,0.045568,0.044032,0.594176,258.90432,492.485376,513.449984
0000000316,1,1686182814824909300,0.036864,0.030208,0.411904,162.105856,409.563904,430.430976
0000000317,1,1686182814925095400,0.089088,0.060672,0.98432,62.430976,307.832832,329.070592
0000000318,1,1686182815025425000,0.0448,0.043264,0.426752,31.76192,272.25856,293.329152
0000000319,1,1686182815125502000,0.033792,0.027904,0.641024,49.234176,175.995136,196.809984
0000000400,1,1686182819412578000,0.053504,0.052224,0.974336,22.945024,75.48928,96.79232
0000000401,1,1686182819512658400,0.068608,0.067584,2.055936,201.520896,289.932544,313.837824
0000000402,1,1686182819612826400,0.067072,0.056064,0.726528,102.412544,209.742592,230.558976
0000000403,1,1686182819712808700,0.029696,0.028928,0.535808,22.129664,129.87392,150.868224
0000000404,1,1686182819813511200,0.253184,0.24448,1.239808,24.613632,75.703296,96.647168
0000000405,1,1686182819913388000,0.045312,0.03584,0.386816,206.77376,292.363008,313.321728
0000000406,1,1686182820013533700,0.042752,0.037632,0.722176,107.973376,202.25152,223.358208
0000000407,1,1686182820113678000,0.047104,0.04608,1.323008,21.90592,131.055872,153.414656
0000000408,1,1686182820214591700,0.045824,0.044544,0.492032,43.563264,99.22304,121.106176
0000000409,1,1686182820313935400,0.026368,0.0256,0.454912,242.033152,325.198848,346.10048
0000000410,1,1686182820414052900,0.048896,0.047872,0.639744,146.180608,269.511424,291.196928
0000000411,1,1686182820514204200,0.043264,0.03584,0.460544,46.893056,202.353664,223.865088
0000000412,1,1686182820614234600,0.0512,0.050176,0.4352,72.040704,231.317504,252.487936
0000000413,1,1686182820714377200,0.05888,0.044544,1.501184,48.257536,156.193024,177.8368
0000000414,1,1686182820814446800,0.03712,0.035584,0.387328,58.83648,136.453376,157.275648
0000000415,1,1686182820914478000,0.059904,0.038144,1.09184,55.128576,130.8864,151.743744
0000000416,1,1686182821014571800,0.04096,0.040192,1.472512,48.478976,127.423232,148.252672
0000000417,1,1686182821114914300,0.045824,0.042496,2.591744,44.835072,211.39328,232.410368
0000000418,1,1686182821216330800,0.045056,0.044288,1.144064,154.445056,460.850944,482.174464
0000000419,1,1686182821315537400,0.042752,0.033792,0.74112,145.543424,442.720768,463.602432
0000000500,1,1686182826766681900,0.08192,0.08064,1.356032,21.945088,77.90592,99.670528
0000000501,1,1686182826866633200,0.08448,0.070656,0.54784,206.433024,279.724032,300.842496
0000000502,1,1686182826966714000,0.060928,0.054016,0.534272,108.223488,191.627264,212.605696
0000000503,1,1686182827066871300,0.06528,0.057856,1.073664,23.249152,112.561152,133.309696
0000000504,1,1686182827166875400,0.033536,0.032512,0.33152,22.829312,74.23872,95.286784
0000000505,1,1686182827266912800,0.04992,0.039936,0.499456,196.173312,282.518784,303.633664
0000000506,1,1686182827367075600,0.04608,0.037376,0.456448,97.393408,183.536384,204.75136
0000000507,1,1686182827467864300,0.04352,0.042496,0.561664,33.35936,154.264064,178.372864
0000000508,1,1686182827568396500,0.039424,0.038144,1.758976,64.955136,118.530048,139.468544
0000000509,1,1686182827668796000,0.030976,0.029952,0.408576,28.709632,107.912704,128.968704
0000000510,1,1686182827768942800,0.051712,0.042752,1.309952,30.95808,123.919104,145.694464
0000000511,1,1686182827868770300,0.051456,0.040704,1.216,40.808448,177.563648,202.181376
0000000512,1,1686182827969475600,0.096768,0.095232,3.697152,116.422912,249.236992,270.342912
0000000513,1,1686182828069752300,0.062976,0.06144,1.040128,58.419712,230.802944,252.726528
0000000514,1,1686182828169755100,0.156416,0.148224,0.744448,88.866048,209.427456,230.859776
0000000515,1,1686182828269817600,0.045568,0.043776,0.366848,43.48416,155.362048,176.525824
0000000516,1,1686182828369910300,0.03712,0.035328,0.555264,29.966336,123.404288,145.17504
0000000517,1,1686182828470024400,0.036864,0.036096,0.886528,45.993472,138.925312,160.771072
0000000518,1,1686182828570589700,0.052992,0.045056,0.64512,55.30624,132.490496,154.53952
0000000519,1,1686182828670674000,0.058112,0.056832,0.5952,57.9904,141.846784,162.735872
0000000600,1,1686182831875510500,0.094464,0.09344,0.658688,15.543808,68.824576,89.91104
0000000601,1,1686182831975611000,0.032512,0.031744,0.497152,192.100352,280.196608,303.374336
0000000602,1,1686182832075710500,0.034304,0.033792,0.654592,94.3808,192.928256,215.686144
0000000603,1,1686182832176047600,0.036096,0.031232,0.463104,34.847232,176.990976,197.92
0000000604,1,1686182832276484000,0.047616,0.046336,6.561536,39.780608,103.113984,124.439296
0000000605,1,1686182832376412000,0.03712,0.03584,1.82912,230.948096,309.207552,331.116288
0000000606,1,1686182832476593000,0.069376,0.067584,0.758784,137.372928,219.098368,240.050176
0000000607,1,1686182832576693200,0.043776,0.039936,0.48512,37.858304,152.40064,173.264384
0000000608,1,1686182832676788700,0.043264,0.034304,0.393216,27.843584,85.273088,106.151168
0000000609,1,1686182832776871000,0.037632,0.029696,0.489216,231.219456,324.867328,346.072064
0000000610,1,1686182832877064000,0.048384,0.047104,1.24416,132.239104,256.01664,277.875712
0000000611,1,1686182832977644000,0.036864,0.03584,0.578048,36.930816,210.60864,231.706624
0000000612,1,1686182833077790000,0.05376,0.042752,1.3504,70.2272,192.422656,213.524224
0000000613,1,1686182833178623200,0.035584,0.034304,1.006592,44.061696,163.715072,185.203712
0000000614,1,1686182833278850000,0.0448,0.043776,0.777984,87.712768,186.791168,207.84256
0000000615,1,1686182833378826800,0.04992,0.043776,0.512768,31.650304,210.452736,232.278016
0000000616,1,1686182833478867200,0.057344,0.049152,0.45824,25.376768,145.198336,166.14528
0000000617,1,1686182833579191300,0.216064,0.204544,0.604928,45.756928,445.612032,466.525696
0000000618,1,1686182833679211300,0.047616,0.037632,0.442112,206.2912,383.002624,404.050176
0000000619,1,1686182833779354000,0.054528,0.052736,0.49664,109.803008,313.742336,334.72384
0000000700,1,1686182836803282000,0.045568,0.044544,0.972544,23.169792,91.999232,113.250304
0000000701,1,1686182836903889700,0.087808,0.076544,0.730624,216.797696,288.349696,309.16992
0000000702,1,1686182837004050700,0.052736,0.043776,0.492032,117.086464,195.998464,216.868096
