gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686425060486366000,0.089088,0.08832,0.84864,75.24608,221.1904,242.457088
0000000001,1,1686425060786484700,0.04608,0.045056,0.477696,146.410752,241.577984,262.722048
0000000002,1,1686425061086605800,0.047616,0.03968,0.561664,166.928128,249.378816,270.382336
0000000003,1,1686425061386805500,0.043264,0.04224,0.450816,178.920448,272.827904,294.031872
0000000004,1,1686425061686992000,0.03072,0.029696,0.881664,199.058944,6516.393472,6537.650176
0000000005,1,1686425061987278000,0.045824,0.0448,0.54912,5206.257152,6479.571712,6500.410368
0000000006,1,1686425062287570700,0.050176,0.049408,0.68608,4842.396928,6170.190848,6191.590144
0000000007,1,1686425062587814000,0.068096,0.067072,2.678784,4584.136192,5797.524224,5818.793472
0000000008,1,1686425062888076300,0.050432,0.049408,0.63104,4293.09696,5570.7776,5591.622144
0000000009,1,1686425063188349200,0.0512,0.050432,0.714496,3999.387904,5275.073536,5295.900928
0000000010,1,1686425063488581600,0.056576,0.055808,0.547072,3713.77536,4977.581568,4998.487808
0000000011,1,1686425063788623400,0.034304,0.033024,1.435904,3420.091648,4724.30464,4745.568256
0000000012,1,1686425064089045800,0.058112,0.057344,0.477184,3124.174592,4426.09152,4447.156736
0000000013,1,1686425064389310200,0.046592,0.045568,0.694016,2832.644096,4177.871104,4198.884352
0000000014,1,1686425064689536300,0.049152,0.047872,0.554752,2537.878784,3864.938752,3886.57536
0000000100,1,1686425064920702200,0.034304,0.03328,0.507648,2327.444992,3666.915328,3688.215296
0000000015,1,1686425064989673200,0.046848,0.045824,0.511744,2249.527552,3705.041152,3726.217984
0000000101,1,1686425065220918000,0.046848,0.045824,0.784384,2040.477952,3512.887296,3534.346496
0000000016,1,1686425065289743600,0.033024,0.032,0.537856,2024.249088,3461.43104,3482.978816
0000000102,1,1686425065521136000,0.082688,0.081664,0.513792,1728.574976,3135.382528,3158.045184
0000000017,1,1686425065590053000,0.061696,0.060416,0.523264,1664.817408,3137.831424,3159.304704
0000000103,1,1686425065821428700,0.047616,0.046592,0.835072,1436.107264,2898.283008,2919.723264
0000000018,1,1686425065890334700,0.046592,0.045824,0.48128,1378.592768,2838.590464,2859.521536
0000000104,1,1686425066121654000,0.049152,0.048128,0.513024,1157.842688,2625.588736,2646.936064
0000000019,1,1686425066190459100,0.039168,0.038144,0.440576,1096.206848,2542.466304,2563.38816
0000000105,1,1686425066421766000,0.040192,0.039424,0.4928,880.797952,2327.557632,2348.302592
0000000020,1,1686425066490715600,0.03584,0.035072,0.626432,833.353984,2263.884032,2284.729856
0000000106,1,1686425066722055400,0.100608,0.099584,0.70656,608.867584,2040.100608,2061.984768
0000000021,1,1686425066790893000,0.05632,0.05504,0.499968,548.1856,2000.490496,2021.661696
0000000107,1,1686425067022255600,0.06272,0.061952,0.548608,334.048512,1780.620544,1801.604096
0000000022,1,1686425067091020300,0.026624,0.025344,0.493824,251.832064,1685.873408,1706.827008
0000000108,1,1686425067322280200,0.0704,0.069376,1.736448,452.099072,1558.829056,1580.662272
0000000023,1,1686425067391321900,0.032256,0.031744,0.332288,465.65504,1494.383616,1515.564288
0000000109,1,1686425067622376000,0.046848,0.039424,0.454656,360.036864,1314.693888,1335.662848
0000000024,1,1686425067691563800,0.048384,0.046848,0.548096,314.846464,1317.667072,1338.828544
0000000110,1,1686425067922615800,0.038912,0.038144,0.50048,262.20544,1079.774464,1101.521152
0000000025,1,1686425067991843800,0.049152,0.048128,1.886976,202.043904,943.127552,964.727552
0000000111,1,1686425068222878000,0.047616,0.046848,0.48,237.535232,838.57664,859.51488
0000000026,1,1686425068292040700,0.041472,0.040448,0.449792,306.228736,773.828352,794.815232
0000000112,1,1686425068523117000,0.072704,0.071168,0.598016,230.507264,595.13856,617.085952
0000000027,1,1686425068592088300,0.038912,0.037888,0.401664,169.193216,534.361856,555.474944
0000000113,1,1686425068823281400,0.031232,0.030208,0.440576,108.718336,327.988992,349.015296
0000000028,1,1686425068892292400,0.039168,0.038144,0.527872,134.391808,285.233152,306.13632
0000000114,1,1686425069123454700,0.03712,0.03584,0.660736,56.609024,168.95616,190.016768
0000000029,1,1686425069192505900,0.042496,0.041472,0.478208,21.90464,127.222016,148.310016
0000000115,1,1686425069423650300,0.043776,0.043008,0.635392,90.0096,205.468416,226.71744
0000000030,1,1686425069492785400,0.037376,0.036608,0.574208,49.541632,152.587264,173.617664
0000000116,1,1686425069723801300,0.0384,0.037376,0.588544,140.578816,257.948416,279.174144
0000000031,1,1686425069793014000,0.034816,0.033792,0.423424,81.28,197.133056,218.322688
0000000117,1,1686425070024013600,0.054528,0.053248,0.615936,180.523776,334.175488,356.420608
0000000032,1,1686425070093246200,0.056832,0.055552,0.567296,130.108416,274.752512,295.977472
0000000118,1,1686425070324260600,0.067072,0.066048,0.429312,53.820928,141.965056,163.158016
0000000033,1,1686425070393413400,0.045056,0.044032,0.457216,195.172096,280.81024,304.0768
0000000119,1,1686425070624429800,0.066816,0.052992,0.668416,65.75872,145.10592,166.343424
