gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000000,1,1686425326242944300,0.05504,0.05376,0.829696,27.203328,102.73536,123.99744
0000000001,1,1686425326643066600,0.095232,0.094208,0.837376,19.70432,78.67904,99.698432
0000000002,1,1686425327043235300,0.055552,0.054016,0.562176,22.904576,93.588224,114.620672
0000000003,1,1686425327443451100,0.043776,0.042752,0.534016,23.819008,90.53952,111.497472
0000000004,1,1686425327843790600,0.060928,0.059392,0.647168,24.593408,75.786496,96.928768
0000000005,1,1686425328243941400,0.023552,0.022784,0.859392,19.18976,78.280192,99.26912
0000000006,1,1686425328644149000,0.05632,0.05504,0.603904,21.760768,97.416704,118.518784
0000000007,1,1686425329044391200,0.10752,0.058112,0.649472,20.340992,81.611776,102.486784
0000000008,1,1686425329444633000,0.063232,0.061952,0.721408,20.708096,87.432192,108.958464
0000000009,1,1686425329844765700,0.034048,0.03328,0.651776,17.111808,84.95872,105.87008
0000000010,1,1686425330245070600,0.04736,0.04608,0.470784,17.128448,73.875456,94.89792
0000000011,1,1686425330645278500,0.050176,0.048896,0.4736,18.652672,76.51712,97.656832
0000000012,1,1686425331045481000,0.059392,0.058368,0.48128,20.771584,79.839744,101.200128
0000000013,1,1686425331445728800,0.050432,0.049664,0.468224,16.877568,93.22368,113.988352
0000000100,1,1686425331469874200,0.105216,0.103936,0.805632,18.398464,95.269888,116.333056
0000000014,1,1686425331845970000,0.046848,0.045568,0.469504,17.025536,100.38016,121.478912
0000000101,1,1686425331870020400,0.051712,0.046336,0.501504,14.926592,94.893824,116.110336
0000000015,1,1686425332246140200,0.033536,0.032512,0.370944,20.738048,89.377536,110.683392
0000000102,1,1686425332270182400,0.043776,0.042752,0.661504,19.840256,81.314048,102.506496
0000000016,1,1686425332646477000,0.057344,0.055808,0.608768,22.258176,91.322624,112.420864
0000000103,1,1686425332670397200,0.04096,0.03968,0.538368,29.742848,90.272768,111.357696
0000000017,1,1686425333046695200,0.052992,0.051968,0.50176,19.655168,113.9712,135.191296
0000000104,1,1686425333070600700,0.057088,0.056064,0.617984,25.830656,100.02176,121.094912
0000000018,1,1686425333446892300,0.080384,0.07936,0.595968,19.724288,97.267712,118.657536
0000000105,1,1686425333470730000,0.054272,0.052992,0.546304,23.181824,92.586496,113.774592
0000000019,1,1686425333846965500,0.034816,0.034048,0.67712,23.608832,104.495872,125.584384
0000000106,1,1686425333871016200,0.041728,0.039936,0.775424,26.405632,90.93632,112.02304
0000000020,1,1686425334247216400,0.054528,0.053504,0.541696,23.639552,108.1024,129.114112
0000000107,1,1686425334271297500,0.043008,0.04224,0.602368,22.161152,93.891072,114.88384
0000000021,1,1686425334647424000,0.046336,0.045568,0.540672,18.689024,82.123264,103.412224
0000000108,1,1686425334671435800,0.055552,0.054784,2.838528,18.753536,85.04832,106.252288
0000000022,1,1686425335047587000,0.04224,0.04096,0.416,21.267968,104.102656,125.39136
0000000109,1,1686425335071709700,0.041728,0.040448,0.623104,26.522368,97.001216,118.23744
0000000023,1,1686425335447872300,0.041216,0.039936,0.521984,16.756736,85.421824,106.465024
0000000110,1,1686425335471819800,0.045568,0.044544,0.597248,17.024,78.655488,99.794432
0000000024,1,1686425335848206800,0.048896,0.047872,0.710912,25.22112,114.43968,135.327232
0000000111,1,1686425335872156400,0.0448,0.043776,0.74752,34.57664,106.272768,127.402496
0000000025,1,1686425336248339200,0.048128,0.047104,0.64128,17.54752,80.167424,101.389568
0000000112,1,1686425336272261400,0.041216,0.040448,0.68608,16.573696,71.895552,93.243136
0000000026,1,1686425336648642300,0.159488,0.158464,2.41664,23.565056,102.852352,124.086784
0000000113,1,1686425336672578600,0.080896,0.079872,0.468224,25.98144,92.699648,113.7088
0000000027,1,1686425337048885000,0.049152,0.048128,0.60416,23.09632,95.167232,116.427264
0000000114,1,1686425337072837000,0.04352,0.04224,0.564736,22.447616,87.51616,108.714496
0000000028,1,1686425337449020000,0.0704,0.067072,0.518656,22.450944,109.434112,130.719488
0000000115,1,1686425337473044500,0.046592,0.045824,0.579584,27.79136,98.94272,120.159744
0000000029,1,1686425337849308000,0.043776,0.042752,0.508416,24.32256,110.875392,131.834368
0000000200,1,1686425337855405800,0.050944,0.049664,0.803328,21.4592,112.326656,133.709568
0000000116,1,1686425337873223200,0.048384,0.04736,0.404736,26.09792,100.398848,121.587968
0000000030,1,1686425338249506300,0.040448,0.039424,0.543488,27.68512,115.850496,137.104128
0000000201,1,1686425338255603500,0.044288,0.043264,0.52352,23.455232,113.234432,134.454272
0000000117,1,1686425338273510100,0.052224,0.050688,0.399616,26.2848,107.990528,128.853248
0000000031,1,1686425338649684700,0.060672,0.059648,0.48768,21.724672,113.87904,135.03488
0000000202,1,1686425338655704600,0.035072,0.034048,0.490752,18.427136,120.224256,141.318912
0000000118,1,1686425338673635600,0.04096,0.039936,0.497152,36.044032,111.897344,133.05344
0000000032,1,1686425339049923300,0.036608,0.035328,0.520448,24.18304,113.806592,134.975744
0000000203,1,1686425339055954400,0.039424,0.038144,0.621568,20.62336,111.767296,132.907008
0000000119,1,1686425339073853700,0.044544,0.04352,0.531712,28.445184,104.832256,126.001664
0000000033,1,1686425339450161200,0.073984,0.07296,0.58112,25.6512,110.607616,131.440384
0000000204,1,1686425339456234200,0.053504,0.05248,2.226176,21.255936,104.909824,127.624192
0000000120,1,1686425339474082800,0.062464,0.06144,0.524288,23.95648,97.202944,118.2144
0000000034,1,1686425339850222300,0.032768,0.032256,0.4224,20.350208,110.022656,131.3152
0000000205,1,1686425339856449500,0.067072,0.066048,0.565248,17.200384,103.809024,125.110528
0000000121,1,1686425339874281700,0.061696,0.06016,0.658688,24.374016,97.757696,118.899456
0000000035,1,1686425340250404900,0.092672,0.08704,0.709888,19.38944,130.422016,151.621888
0000000206,1,1686425340256549000,0.060416,0.059136,0.600064,19.271168,118.347264,139.629568
0000000122,1,1686425340274425300,0.04992,0.048896,0.555776,30.778112,111.928576,133.189888
0000000036,1,1686425340650698200,0.040704,0.03968,0.544768,25.236224,114.029056,135.284224
0000000207,1,1686425340656738600,0.06272,0.061696,0.658944,22.56896,115.066624,138.515968
0000000123,1,1686425340674724000,0.040192,0.039168,0.480768,24.091648,99.301376,120.464896
0000000037,1,1686425341051003100,0.050944,0.04992,0.577792,82.631424,215.705856,236.691712
0000000208,1,1686425341056995600,0.150272,0.148736,0.850432,106.20416,212.498432,233.581568
0000000124,1,1686425341074962400,0.062976,0.061952,2.464768,89.908736,192.543488,213.708288
0000000038,1,1686425341451088400,0.032,0.030464,0.50944,56.465408,168.716288,189.878528
0000000209,1,1686425341457153300,0.038912,0.037888,0.836096,61.083904,163.730688,184.952064
0000000125,1,1686425341475104000,0.067328,0.066304,0.663552,41.48864,139.229952,160.294144
0000000039,1,1686425341851208000,0.037888,0.03712,0.626688,21.534976,109.14304,130.40768
0000000210,1,1686425341857363000,0.034048,0.032768,0.491008,19.954688,103.723776,124.833536
0000000126,1,1686425341875325200,0.037888,0.036608,0.602368,24.387584,100.032,121.2672
0000000040,1,1686425342251451400,0.033792,0.032768,0.50816,28.547072,113.196032,134.408448
0000000211,1,1686425342257432300,0.04224,0.04096,0.890368,26.18112,112.546304,133.613568
0000000127,1,1686425342275429000,0.04096,0.040192,0.541952,24.929024,100.804608,122.067456
0000000041,1,1686425342651687700,0.037632,0.036608,0.492032,22.654464,109.282048,130.503936
0000000212,1,1686425342657653000,0.03584,0.03456,0.589568,20.786176,100.864512,122.003712
0000000128,1,1686425342675729200,0.051712,0.045312,0.671744,24.106496,95.702784,116.962304
0000000300,1,1686425342903594000,0.092416,0.091648,0.972288,21.008384,81.56672,102.957824
0000000042,1,1686425343051922000,0.036608,0.035072,0.618752,27.709696,128.34304,149.516032
0000000213,1,1686425343057879800,0.043264,0.04224,0.570624,27.381248,123.178752,144.370432
0000000129,1,1686425343075878700,0.042752,0.041984,0.47744,26.110464,107.740416,128.887552
0000000301,1,1686425343303702000,0.041472,0.04096,0.283392,43.006464,128.672,149.879296
0000000043,1,1686425343452138000,0.035328,0.03328,0.420352,21.300736,101.913344,122.914816
0000000214,1,1686425343458115600,0.041984,0.040704,0.479232,17.608192,105.831936,126.99776
0000000130,1,1686425343476050000,0.032256,0.031488,0.60288,27.282176,103.824128,125.056
0000000302,1,1686425343703997000,0.061696,0.060416,0.536576,18.120448,82.507776,103.602432
0000000044,1,1686425343852254200,0.034816,0.034048,0.626432,22.48576,124.188672,145.3568
0000000215,1,1686425343858306600,0.051712,0.050688,0.395008,18.856704,116.377088,137.574144
0000000131,1,1686425343876113200,0.043776,0.042752,0.658944,33.266688,112.907008,134.116608
0000000303,1,1686425344104246000,0.04736,0.046592,0.566528,19.845376,81.088,102.216704
0000000045,1,1686425344252443400,0.050432,0.049408,0.497152,22.641408,113.74464,135.029504
0000000216,1,1686425344258590700,0.059648,0.058624,0.490752,18.569472,114.275328,135.492096
0000000132,1,1686425344276294100,0.028672,0.02816,0.538368,24.455168,100.4352,122.304768
0000000304,1,1686425344504433000,0.06016,0.059392,0.579072,19.19232,76.279552,97.309952
0000000046,1,1686425344652642300,0.053248,0.05248,0.451584,23.473152,116.846848,137.863424
0000000217,1,1686425344658787800,0.047104,0.045824,0.467968,20.000256,112.649216,133.629696
0000000133,1,1686425344676649700,0.056832,0.052736,0.559104,28.22528,108.218368,129.430784
0000000305,1,1686425344904668400,0.041472,0.040704,2.207488,20.970496,82.573312,105.245952
0000000047,1,1686425345052891400,0.040704,0.039936,0.457728,25.202688,113.20192,134.083328
0000000218,1,1686425345059026200,0.047872,0.046592,0.623872,21.265152,117.550336,138.686976
0000000134,1,1686425345076816000,0.03456,0.03328,0.511488,26.652672,101.248256,122.564608
0000000306,1,1686425345304982300,0.04608,0.045056,0.54144,20.190208,86.7072,107.83744
