gnbid,type,timestamp,MM5G_NULL,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000123,1,1686425922462464000,0.034048,0.6208,0.035072,118.107392,193.50144,214.600192
0000000045,1,1686425922563211000,0.027392,0.390144,0.02816,52.314112,132.099328,153.30048
0000000124,1,1686425922662668300,0.0448,0.549632,0.046336,214.827264,292.776704,314.324736
0000000046,1,1686425922763555300,0.038912,0.419584,0.03968,153.200384,222.05824,243.14112
0000000125,1,1686425922863475200,0.03584,0.624128,0.03712,18.02624,125.754624,146.844416
0000000047,1,1686425922963737600,0.031488,0.393216,0.032256,31.974144,123.319808,144.52608
0000000126,1,1686425923063686400,0.038144,0.574976,0.039168,143.16416,203.574272,224.815104
0000000048,1,1686425923163964700,0.03712,0.430336,0.038144,145.564672,203.044352,224.228864
0000000127,1,1686425923265443600,0.068608,0.605184,0.070144,224.029696,289.508096,310.693376
0000000049,1,1686425923364204800,0.044288,0.38912,0.045312,17.446144,87.336192,108.558592
0000000128,1,1686425923464306000,0.036864,0.513024,0.037888,26.983936,128.297984,149.64224
0000000050,1,1686425923564246000,0.041728,0.681728,0.042752,107.457792,163.569152,184.65536
0000000129,1,1686425923664330200,0.035072,0.568576,0.035584,146.510592,201.147392,222.42432
0000000051,1,1686425923764298000,0.041472,0.412672,0.042496,184.606208,253.885184,276.024576
0000000130,1,1686425923864501500,0.043008,0.411904,0.044288,219.701504,289.37216,310.573824
0000000052,1,1686425923964521500,0.094208,0.571392,0.094976,17.53216,105.9008,127.02848
0000000131,1,1686425924064768800,0.041472,0.430336,0.042496,21.272064,123.85152,145.071616
0000000053,1,1686425924164679700,0.027648,0.450304,0.028672,127.611392,184.605696,205.42336
0000000132,1,1686425924264945400,0.045568,0.504576,0.046848,140.924928,190.957312,212.174848
0000000054,1,1686425924364833300,0.038144,0.342784,0.038656,202.976,280.901376,302.07488
0000000133,1,1686425924465121000,0.03968,0.407552,0.040448,221.869312,289.513728,310.686976
0000000055,1,1686425924565227500,0.031488,0.385536,0.032512,16.250112,121.871616,143.03488
